rewrite,nom_ville,nbre_car
brousseval,Brousseval,10
bugnieres,Bugnières,9
busson,Busson,6
buxieres-les-clefmont,Buxières-lès-Clefmont,21
buxieres-les-villiers,Buxières-lès-Villiers,21
ceffonds,Ceffonds,8
celles-en-bassigny,Celles-en-Bassigny,18
celsoy,Celsoy,6
cerisieres,Cerisières,10
chalancey,Chalancey,9
chalindrey,Chalindrey,10
chalvraines,Chalvraines,11
chamarandes-choignes,Chamarandes-Choignes,20
chambroncourt,Chambroncourt,13
chamouilley,Chamouilley,11
champigneulles-en-bassigny,Champigneulles-en-Bassigny,26
champigny-les-langres,Champigny-lès-Langres,21
champigny-sous-varennes,Champigny-sous-Varennes,23
champsevraine,Champsevraine,13
chancenay,Chancenay,9
changey,Changey,7
chanoy,Chanoy,6
chantraines,Chantraines,11
charmes,Charmes,7
charmes-en-l-angle,Charmes-en-l'Angle,18
charmes-la-grande,Charmes-la-Grande,17
chassigny,Chassigny,9
chateauvillain,Châteauvillain,14
chatenay-macheron,Chatenay-Mâcheron,17
chatenay-vaudin,Chatenay-Vaudin,15
chatonrupt-sommermont,Chatonrupt-Sommermont,21
chaudenay,Chaudenay,9
chauffourt,Chauffourt,10
chaumont,Chaumont,8
chaumont-la-ville,Chaumont-la-Ville,17
chevillon,Chevillon,9
chezeaux,Chézeaux,8
choilley-dardenay,Choilley-Dardenay,17
choiseul,Choiseul,8
cirey-les-mareilles,Cirey-lès-Mareilles,19
cirey-sur-blaise,Cirey-sur-Blaise,16
cirfontaines-en-azois,Cirfontaines-en-Azois,21
cirfontaines-en-ornois,Cirfontaines-en-Ornois,22
clefmont,Clefmont,8
clinchamp,Clinchamp,9
cohons,Cohons,6
coiffy-le-bas,Coiffy-le-Bas,13
coiffy-le-haut,Coiffy-le-Haut,14
colmier-le-bas,Colmier-le-Bas,14
colmier-le-haut,Colmier-le-Haut,15
colombey-les-deux-eglises,Colombey-les-Deux-Eglises,25
condes,Condes,6
consigny,Consigny,8
coublanc,Coublanc,8
coupray,Coupray,7
cour-l-eveque,Cour-l'Evêque,13
courcelles-en-montagne,Courcelles-en-Montagne,22
courcelles-sur-blaise,Courcelles-sur-Blaise,21
culmont,Culmont,7
curel,Curel,5
curmont,Curmont,7
cusey,Cusey,5
cuves,Cuves,5
daillancourt,Daillancourt,12
daillecourt,Daillecourt,11
dammartin-sur-meuse,Dammartin-sur-Meuse,19
dampierre,Dampierre,9
damremont,Damrémont,9
dancevoir,Dancevoir,9
darmannes,Darmannes,9
dinteville,Dinteville,10
domblain,Domblain,8
dommarien,Dommarien,9
dommartin-le-franc,Dommartin-le-Franc,18
dommartin-le-saint-pere,Dommartin-le-Saint-Père,23
domremy-landeville,Domremy-Landéville,18
doncourt-sur-meuse,Doncourt-sur-Meuse,18
donjeux,Donjeux,7
doulaincourt-saucourt,Doulaincourt-Saucourt,21
doulevant-le-chateau,Doulevant-le-Château,20
doulevant-le-petit,Doulevant-le-Petit,18
droyes,Droyes,6
echenay,Echenay,7
eclaron-braucourt-sainte-liviere,Eclaron-Braucourt-Sainte-Livière,32
ecot-la-combe,Ecot-la-Combe,13
effincourt,Effincourt,10
enfonvelle,Enfonvelle,10
epizon,Epizon,6
esnouveaux,Esnouveaux,10
euffigneix,Euffigneix,10
eurville-bienville,Eurville-Bienville,18
farincourt,Farincourt,10
faverolles,Faverolles,10
fayl-billot,Fayl-Billot,11
fays,Fays,4
ferriere-et-lafolie,Ferrière-et-Lafolie,19
flagey,Flagey,6
flammerecourt,Flammerécourt,13
fontaines-sur-marne,Fontaines-sur-Marne,19
forcey,Forcey,6
foulain,Foulain,7
frampas,Frampas,7
frecourt,Frécourt,8
fresnes-sur-apance,Fresnes-sur-Apance,18
froncles,Froncles,8
fronville,Fronville,9
genevrieres,Genevrières,11
germaines,Germaines,9
germainvilliers,Germainvilliers,15
germay,Germay,6
germisay,Germisay,8
giey-sur-aujon,Giey-sur-Aujon,14
gillancourt,Gillancourt,11
gillaume,Gillaumé,8
gilley,Gilley,6
goncourt,Goncourt,8
graffigny-chemin,Graffigny-Chemin,16
grandchamp,Grandchamp,10
grenant,Grenant,7
gudmont-villiers,Gudmont-Villiers,16
guindrecourt-aux-ormes,Guindrecourt-aux-Ormes,22
guindrecourt-sur-blaise,Guindrecourt-sur-Blaise,23
guyonvelle,Guyonvelle,10
hacourt,Hâcourt,7
hallignicourt,Hallignicourt,13
harreville-les-chanteurs,Harréville-les-Chanteurs,24
haute-amance,Haute-Amance,12
heuilley-cotton,Heuilley-Cotton,15
heuilley-le-grand,Heuilley-le-Grand,17
huilliecourt,Huilliécourt,12
humbecourt,Humbécourt,10
humberville,Humberville,11
humes-jorquenay,Humes-Jorquenay,15
illoud,Illoud,6
is-en-bassigny,Is-en-Bassigny,14
isomes,Isômes,6
joinville,Joinville,9
jonchery,Jonchery,8
juzennecourt,Juzennecourt,12
la-genevroye,"La Genevroye",12
lachapelle-en-blaisy,Lachapelle-en-Blaisy,20
lafauche,Lafauche,8
laferte-sur-amance,Laferté-sur-Amance,18
laferte-sur-aube,Laferté-sur-Aube,16
lamancine,Lamancine,9
lamothe-en-blaisy,Lamothe-en-Blaisy,17
laneuvelle,Laneuvelle,10
laneuville-au-pont,Laneuville-au-Pont,18
langres,Langres,7
lanques-sur-rognon,Lanques-sur-Rognon,18
lanty-sur-aube,Lanty-sur-Aube,14
lariviere-arnoncourt,Larivière-Arnoncourt,20
latrecey-ormoy-sur-aube,Latrecey-Ormoy-sur-Aube,23
lavernoy,Lavernoy,8
laville-aux-bois,Laville-aux-Bois,16
lavilleneuve,Lavilleneuve,12
le-chatelet-sur-meuse,"Le Châtelet-sur-Meuse",21
le-pailly,"Le Pailly",9
le-val-d-esnoms,"Le Val-d'Esnoms",15
lecey,Lecey,5
leffonds,Leffonds,8
les-loges,"Les Loges",9
lescheres-sur-le-blaiseron,Leschères-sur-le-Blaiseron,26
leuchey,Leuchey,7
leurville,Leurville,9
levecourt,Levécourt,9
lezeville,Lezéville,9
liffol-le-petit,Liffol-le-Petit,15
longchamp,Longchamp,9
longeau-percey,Longeau-Percey,14
longeville-sur-la-laines,Longeville-sur-la-Laines,24
louvemont,Louvemont,9
louvieres,Louvières,9
louze,Louze,5
luzy-sur-marne,Luzy-sur-Marne,14
maatz,Maâtz,5
magneux,Magneux,7
maisoncelles,Maisoncelles,12
maizieres,Maizières,9
maizieres-sur-amance,Maizières-sur-Amance,20
malaincourt-sur-meuse,Malaincourt-sur-Meuse,21
mandres-la-cote,Mandres-la-Côte,15
manois,Manois,6
marac,Marac,5
maranville,Maranville,10
marbeville,Marbéville,10
marcilly-en-bassigny,Marcilly-en-Bassigny,20
mardor,Mardor,6
mareilles,Mareilles,9
marnay-sur-marne,Marnay-sur-Marne,16
mathons,Mathons,7
melay,Melay,5
mennouveaux,Mennouveaux,11
merrey,Merrey,6
mertrud,Mertrud,7
meures,Meures,6
millieres,Millières,9
mirbel,Mirbel,6
moeslains,Moëslains,9
montcharvot,Montcharvot,11
montheries,Montheries,10
montier-en-der,Montier-en-Der,14
montot-sur-rognon,Montot-sur-Rognon,17
montreuil-sur-blaise,Montreuil-sur-Blaise,20
montreuil-sur-thonnance,Montreuil-sur-Thonnance,23
montsaugeon,Montsaugeon,11
morancourt,Morancourt,10
morionvilliers,Morionvilliers,14
mouilleron,Mouilleron,10
mussey-sur-marne,Mussey-sur-Marne,16
narcy,Narcy,5
neuilly-l-eveque,Neuilly-l'Evêque,16
neuilly-sur-suize,Neuilly-sur-Suize,17
neuvelle-les-voisey,Neuvelle-lès-Voisey,19
nijon,Nijon,5
ninville,Ninville,8
nogent,Nogent,6
noidant-chatenoy,Noidant-Chatenoy,16
noidant-le-rocheux,Noidant-le-Rocheux,18
nomecourt,Nomécourt,9
noncourt-sur-le-rongeant,Noncourt-sur-le-Rongeant,24
noyers,Noyers,6
nully,Nully,5
occey,Occey,5
orbigny-au-mont,Orbigny-au-Mont,15
orbigny-au-val,Orbigny-au-Val,14
orcevaux,Orcevaux,8
orges,Orges,5
ormancey,Ormancey,8
ormoy-les-sexfontaines,Ormoy-lès-Sexfontaines,22
orquevaux,Orquevaux,9
osne-le-val,Osne-le-Val,11
oudincourt,Oudincourt,10
outremecourt,Outremécourt,12
ozieres,Ozières,7
palaiseul,Palaiseul,9
pansey,Pansey,6
parnoy-en-bassigny,Parnoy-en-Bassigny,18
paroy-sur-saulx,Paroy-sur-Saulx,15
peigney,Peigney,7
perrancey-les-vieux-moulins,Perrancey-les-Vieux-Moulins,27
perrogney-les-fontaines,Perrogney-les-Fontaines,23
perrusse,Perrusse,8
perthes,Perthes,7
pierremont-sur-amance,Pierremont-sur-Amance,21
pisseloup,Pisseloup,9
planrupt,Planrupt,8
plesnoy,Plesnoy,7
poinsenot,Poinsenot,9
poinson-les-fayl,Poinson-lès-Fayl,16
poinson-les-grancey,Poinson-lès-Grancey,19
poinson-les-nogent,Poinson-lès-Nogent,18
poiseul,Poiseul,7
poissons,Poissons,8
pont-la-ville,Pont-la-Ville,13
poulangy,Poulangy,8
praslay,Praslay,7
prauthoy,Prauthoy,8
pressigny,Pressigny,9
prez-sous-lafauche,Prez-sous-Lafauche,18
puellemontier,Puellemontier,13
rachecourt-sur-marne,Rachecourt-sur-Marne,20
rachecourt-suzemont,Rachecourt-Suzémont,19
ranconnieres,Rançonnières,12
rangecourt,Rangecourt,10
rennepont,Rennepont,9
reynel,Reynel,6
riaucourt,Riaucourt,9
richebourg,Richebourg,10
rimaucourt,Rimaucourt,10
riviere-les-fosses,Rivière-les-Fosses,18
rivieres-le-bois,Rivières-le-Bois,16
rizaucourt-buchey,Rizaucourt-Buchey,17
robert-magny,Robert-Magny,12
rochefort-sur-la-cote,Rochefort-sur-la-Côte,21
roches-bettaincourt,Roches-Bettaincourt,19
roches-sur-marne,Roches-sur-Marne,16
rochetaillee,Rochetaillée,12
rolampont,Rolampont,9
romain-sur-meuse,Romain-sur-Meuse,16
rouecourt,Rouécourt,9
rouelles,Rouelles,8
rougeux,Rougeux,7
rouvres-sur-aube,Rouvres-sur-Aube,16
rouvroy-sur-marne,Rouvroy-sur-Marne,17
rupt,Rupt,4
sailly,Sailly,6
saint-blin,Saint-Blin,10
saint-broingt-le-bois,Saint-Broingt-le-Bois,21
saint-broingt-les-fosses,Saint-Broingt-les-Fosses,24
saint-ciergues,Saint-Ciergues,14
saint-dizier,Saint-Dizier,12
saint-loup-sur-aujon,Saint-Loup-sur-Aujon,20
saint-martin-les-langres,Saint-Martin-lès-Langres,24
saint-maurice,Saint-Maurice,13
saint-thiebault,Saint-Thiébault,15
saint-urbain-maconcourt,Saint-Urbain-Maconcourt,23
saint-vallier-sur-marne,Saint-Vallier-sur-Marne,23
saints-geosmes,Saints-Geosmes,14
sarcey,Sarcey,6
sarrey,Sarrey,6
saudron,Saudron,7
saulles,Saulles,7
savigny,Savigny,7
semilly,Semilly,7
semoutiers-montsaon,Semoutiers-Montsaon,19
serqueux,Serqueux,8
sexfontaines,Sexfontaines,12
signeville,Signéville,10
silvarouvres,Silvarouvres,12
sommancourt,Sommancourt,11
sommerecourt,Sommerécourt,12
sommevoire,Sommevoire,10
soncourt-sur-marne,Soncourt-sur-Marne,18
soulaucourt-sur-mouzon,Soulaucourt-sur-Mouzon,22
soyers,Soyers,6
suzannecourt,Suzannecourt,12
ternat,Ternat,6
champigny-sous-varennes,Champigny-sous-Varennes,23
thilleux,Thilleux,8
thivet,Thivet,6
thol-les-millieres,Thol-lès-Millières,18
thonnance-les-joinville,Thonnance-lès-Joinville,23
thonnance-les-moulins,Thonnance-les-Moulins,21
torcenay,Torcenay,8
tornay,Tornay,6
treix,Treix,5
tremilly,Trémilly,8
troisfontaines-la-ville,Troisfontaines-la-Ville,23
vaillant,Vaillant,8
val-de-meuse,Val-de-Meuse,12
valcourt,Valcourt,8
valleret,Valleret,8
valleroy,Valleroy,8
vals-des-tilles,Vals-des-Tilles,15
vaudrecourt,Vaudrecourt,11
vaudremont,Vaudrémont,10
vaux-sous-aubigny,Vaux-sous-Aubigny,17
vaux-sur-blaise,Vaux-sur-Blaise,15
vaux-sur-saint-urbain,Vaux-sur-Saint-Urbain,21
vauxbons,Vauxbons,8
vecqueville,Vecqueville,11
velles,Velles,6
verbiesles,Verbiesles,10
verseilles-le-bas,Verseilles-le-Bas,17
verseilles-le-haut,Verseilles-le-Haut,18
vesaignes-sous-lafauche,Vesaignes-sous-Lafauche,23
vesaignes-sur-marne,Vesaignes-sur-Marne,19
vesvres-sous-chalancey,Vesvres-sous-Chalancey,22
vicq,Vicq,4
vieville,Viéville,8
vignes-la-cote,Vignes-la-Côte,14
vignory,Vignory,7
villars-en-azois,Villars-en-Azois,16
villars-santenoge,Villars-Santenoge,17
ville-en-blaisois,Ville-en-Blaisois,17
villegusien-le-lac,Villegusien-le-Lac,18
villiers-en-lieu,Villiers-en-Lieu,16
villiers-le-sec,Villiers-le-Sec,15
villiers-les-aprey,Villiers-lès-Aprey,18
villiers-sur-suize,Villiers-sur-Suize,18
violot,Violot,6
vitry-en-montagne,Vitry-en-Montagne,17
vitry-les-nogent,Vitry-lès-Nogent,16
vivey,Vivey,5
voillecomte,Voillecomte,11
voisey,Voisey,6
voisines,Voisines,8
voncourt,Voncourt,8
vouecourt,Vouécourt,9
vraincourt,Vraincourt,10
vroncourt-la-cote,Vroncourt-la-Côte,17
wassy,Wassy,5
ahuille,Ahuillé,7
alexain,Alexain,7
ambrieres-les-vallees,Ambrières-les-Vallées,21
ampoigne,Ampoigné,8
andouille,Andouillé,9
argenton-notre-dame,Argenton-Notre-Dame,19
argentre,Argentré,8
aron,Aron,4
arquenay,Arquenay,8
asse-le-berenger,Assé-le-Bérenger,16
astille,Astillé,7
athee,Athée,5
averton,Averton,7
aze,Azé,3
bais,Bais,4
ballee,Ballée,6
ballots,Ballots,7
bannes,Bannes,6
bazougers,Bazougers,9
beaulieu-sur-oudon,Beaulieu-sur-Oudon,18
beaumont-pied-de-boeuf,Beaumont-Pied-de-Boeuf,22
belgeard,Belgeard,8
bierne,Bierné,6
blandouet,Blandouet,9
bonchamp-les-laval,Bonchamp-lès-Laval,18
bouchamps-les-craon,Bouchamps-lès-Craon,19
bouere,Bouère,6
bouessay,Bouessay,8
boulay-les-ifs,Boulay-les-Ifs,14
bourgon,Bourgon,7
brains-sur-les-marches,Brains-sur-les-Marches,22
brece,Brecé,5
bree,Brée,4
carelles,Carelles,8
chailland,Chailland,9
chalons-du-maine,Châlons-du-Maine,16
chammes,Chammes,7
champeon,Champéon,8
champfremont,Champfrémont,12
champgeneteux,Champgenéteux,13
change,Changé,6
chantrigne,Chantrigné,10
charchigne,Charchigné,10
chateau-gontier,Château-Gontier,15
chatelain,Châtelain,9
chatillon-sur-colmont,Châtillon-sur-Colmont,21
chatres-la-foret,Châtres-la-Forêt,16
chemaze,Chemazé,7
chemere-le-roi,Chémeré-le-Roi,14
cherance,Chérancé,8
chevaigne-du-maine,Chevaigné-du-Maine,18
colombiers-du-plessis,Colombiers-du-Plessis,21
commer,Commer,6
congrier,Congrier,8
contest,Contest,7
cosmes,Cosmes,6
cosse-en-champagne,Cossé-en-Champagne,18
cosse-le-vivien,Cossé-le-Vivien,15
coudray,Coudray,7
couesmes-vauce,Couesmes-Vaucé,14
couptrain,Couptrain,9
courbeveille,Courbeveille,12
courcite,Courcité,8
craon,Craon,5
crennes-sur-fraubee,Crennes-sur-Fraubée,19
cuille,Cuillé,6
daon,Daon,4
denaze,Denazé,6
desertines,Désertines,10
deux-evailles,Deux-Evailles,13
entrammes,Entrammes,9
epineux-le-seguin,Epineux-le-Seguin,17
ernee,Ernée,5
evron,Evron,5
fontaine-couverte,Fontaine-Couverte,17
force,Forcé,5
fougerolles-du-plessis,Fougerolles-du-Plessis,22
fromentieres,Fromentières,12
gastines,Gastines,8
gennes-sur-glaize,Gennes-sur-Glaize,17
gesnes,Gesnes,6
gesvres,Gesvres,7
gorron,Gorron,6
grazay,Grazay,6
grez-en-bouere,Grez-en-Bouère,14
hambers,Hambers,7
hardanges,Hardanges,9
herce,Hercé,5
houssay,Houssay,7
ize,Izé,3
javron-les-chapelles,Javron-les-Chapelles,20
jublains,Jublains,8
juvigne,Juvigné,7
l-huisserie,L'Huisserie,11
la-baconniere,"La Baconnière",13
la-bazoge-montpincon,"La Bazoge-Montpinçon",20
la-bazouge-de-chemere,"La Bazouge-de-Chemeré",21
la-bazouge-des-alleux,"La Bazouge-des-Alleux",21
la-bigottiere,"La Bigottière",13
la-boissiere,"La Boissière",12
la-brulatte,"La Brûlatte",11
la-chapelle-anthenaise,"La Chapelle-Anthenaise",22
la-chapelle-au-riboul,"La Chapelle-au-Riboul",21
la-chapelle-craonnaise,"La Chapelle-Craonnaise",22
la-chapelle-rainsouin,"La Chapelle-Rainsouin",21
la-croixille,"La Croixille",12
la-cropte,"La Cropte",9
la-doree,"La Dorée",8
la-gravelle,"La Gravelle",11
la-haie-traversaine,"La Haie-Traversaine",19
la-pallu,"La Pallu",8
la-pellerine,"La Pellerine",12
la-roe,"La Roë",6
la-rouaudiere,"La Rouaudière",13
la-selle-craonnaise,"La Selle-Craonnaise",19
laigne,Laigné,6
landivy,Landivy,7
larchamp,Larchamp,8
lassay-les-chateaux,Lassay-les-Châteaux,19
laubrieres,Laubrières,10
launay-villiers,Launay-Villiers,15
laval,Laval,5
le-bignon-du-maine,"Le Bignon-du-Maine",18
le-bourgneuf-la-foret,"Le Bourgneuf-la-Forêt",21
le-buret,"Le Buret",8
le-genest-saint-isle,"Le Genest-Saint-Isle",20
le-ham,"Le Ham",6
le-horps,"Le Horps",8
le-housseau-bretignolles,"Le Housseau-Brétignolles",24
le-pas,"Le Pas",6
le-ribay,"Le Ribay",8
lesbois,Lesbois,7
levare,Levaré,6
lignieres-orgeres,Lignières-Orgères,17
livet,Livet,5
livre-la-touche,Livré-la-Touche,15
loigne-sur-mayenne,Loigné-sur-Mayenne,18
loiron,Loiron,6
longuefuye,Longuefuye,10
loupfougeres,Loupfougères,12
louverne,Louverné,8
louvigne,Louvigné,8
madre,Madré,5
maisoncelles-du-maine,Maisoncelles-du-Maine,21
marcille-la-ville,Marcillé-la-Ville,17
marigne-peuton,Marigné-Peuton,14
martigne-sur-mayenne,Martigné-sur-Mayenne,20
mayenne,Mayenne,7
mee,Mée,3
menil,Ménil,5
meral,Méral,5
meslay-du-maine,Meslay-du-Maine,15
mezangers,Mézangers,9
montaudin,Montaudin,9
montenay,Montenay,8
montflours,Montflours,10
montigne-le-brillant,Montigné-le-Brillant,20
montjean,Montjean,8
montourtier,Montourtier,11
montreuil-poulay,Montreuil-Poulay,16
montsurs,Montsûrs,8
moulay,Moulay,6
neau,Neau,4
neuilly-le-vendin,Neuilly-le-Vendin,17
niafles,Niafles,7
nuille-sur-vicoin,Nuillé-sur-Vicoin,17
oisseau,Oisseau,7
olivet,Olivet,6
origne,Origné,6
parigne-sur-braye,Parigné-sur-Braye,17
parne-sur-roc,Parné-sur-Roc,13
peuton,Peuton,6
place,Placé,5
pommerieux,Pommerieux,10
pontmain,Pontmain,8
port-brillet,Port-Brillet,12
pre-en-pail,Pré-en-Pail,11
preaux,Préaux,6
quelaines-saint-gault,Quelaines-Saint-Gault,21
ravigny,Ravigny,7
renaze,Renazé,6
rennes-en-grenouilles,Rennes-en-Grenouilles,21
ruille-froid-fonds,Ruillé-Froid-Fonds,18
ruille-le-gravelais,Ruillé-le-Gravelais,19
sace,Sacé,4
saint-aignan-de-couptrain,Saint-Aignan-de-Couptrain,25
saint-aignan-sur-roe,Saint-Aignan-sur-Roë,20
saint-aubin-du-desert,Saint-Aubin-du-Désert,21
saint-aubin-fosse-louvain,Saint-Aubin-Fosse-Louvain,25
saint-baudelle,Saint-Baudelle,14
saint-berthevin,Saint-Berthevin,15
saint-berthevin-la-tanniere,Saint-Berthevin-la-Tannière,27
saint-brice,Saint-Brice,11
saint-calais-du-desert,Saint-Calais-du-Désert,22
saint-cenere,Saint-Céneré,12
saint-charles-la-foret,Saint-Charles-la-Forêt,22
saint-christophe-du-luat,Saint-Christophe-du-Luat,24
saint-cyr-en-pail,Saint-Cyr-en-Pail,17
saint-cyr-le-gravelais,Saint-Cyr-le-Gravelais,22
saint-denis-d-anjou,Saint-Denis-d'Anjou,19
saint-denis-de-gastines,Saint-Denis-de-Gastines,23
saint-denis-du-maine,Saint-Denis-du-Maine,20
saint-ellier-du-maine,Saint-Ellier-du-Maine,21
saint-erblon,Saint-Erblon,12
saint-fort,Saint-Fort,10
saint-fraimbault-de-prieres,Saint-Fraimbault-de-Prières,27
saint-georges-buttavent,Saint-Georges-Buttavent,23
saint-georges-le-flechard,Saint-Georges-le-Fléchard,25
saint-georges-sur-erve,Saint-Georges-sur-Erve,22
saint-germain-d-anxure,Saint-Germain-d'Anxure,22
saint-germain-de-coulamer,Saint-Germain-de-Coulamer,25
saint-germain-le-fouilloux,Saint-Germain-le-Fouilloux,26
saint-germain-le-guillaume,Saint-Germain-le-Guillaume,26
saint-hilaire-du-maine,Saint-Hilaire-du-Maine,22
saint-jean-sur-erve,Saint-Jean-sur-Erve,19
saint-jean-sur-mayenne,Saint-Jean-sur-Mayenne,22
saint-julien-du-terroux,Saint-Julien-du-Terroux,23
saint-laurent-des-mortiers,Saint-Laurent-des-Mortiers,26
saint-leger,Saint-Léger,11
saint-loup-du-dorat,Saint-Loup-du-Dorat,19
saint-loup-du-gast,Saint-Loup-du-Gast,18
saint-mars-du-desert,Saint-Mars-du-Désert,20
saint-mars-sur-colmont,Saint-Mars-sur-Colmont,22
saint-mars-sur-la-futaie,Saint-Mars-sur-la-Futaie,24
saint-martin-de-connee,Saint-Martin-de-Connée,22
saint-martin-du-limet,Saint-Martin-du-Limet,21
saint-michel-de-feins,Saint-Michel-de-Feins,21
saint-michel-de-la-roe,Saint-Michel-de-la-Roë,22
saint-ouen-des-toits,Saint-Ouën-des-Toits,20
saint-ouen-des-vallons,Saint-Ouën-des-Vallons,22
saint-pierre-des-landes,Saint-Pierre-des-Landes,23
saint-pierre-des-nids,Saint-Pierre-des-Nids,21
saint-pierre-la-cour,Saint-Pierre-la-Cour,20
saint-pierre-sur-erve,Saint-Pierre-sur-Erve,21
saint-pierre-sur-orthe,Saint-Pierre-sur-Orthe,22
saint-poix,Saint-Poix,10
saint-quentin-les-anges,Saint-Quentin-les-Anges,23
saint-samson,Saint-Samson,12
saint-saturnin-du-limet,Saint-Saturnin-du-Limet,23
saint-sulpice,Saint-Sulpice,13
saint-thomas-de-courceriers,Saint-Thomas-de-Courceriers,27
sainte-gemmes-le-robert,Sainte-Gemmes-le-Robert,23
sainte-marie-du-bois,Sainte-Marie-du-Bois,20
sainte-suzanne,Sainte-Suzanne,14
saulges,Saulges,7
senonnes,Senonnes,8
simple,Simplé,6
souce,Soucé,5
soulge-sur-ouette,Soulgé-sur-Ouette,17
thorigne-en-charnie,Thorigné-en-Charnie,19
thuboeuf,Thuboeuf,8
torce-viviers-en-charnie,Torcé-Viviers-en-Charnie,24
trans,Trans,5
vaiges,Vaiges,6
vautorte,Vautorte,8
vieuvy,Vieuvy,6
villaines-la-juhel,Villaines-la-Juhel,18
villepail,Villepail,9
villiers-charlemagne,Villiers-Charlemagne,20
vimarce,Vimarcé,7
voutre,Voutré,6
abaucourt,Abaucourt,9
abbeville-les-conflans,Abbéville-lès-Conflans,22
aboncourt,Aboncourt,9
affleville,Affléville,10
affracourt,Affracourt,10
agincourt,Agincourt,9
aingeray,Aingeray,8
allain,Allain,6
allamont,Allamont,8
allamps,Allamps,7
allondrelle-la-malmaison,Allondrelle-la-Malmaison,24
amance,Amance,6
amenoncourt,Amenoncourt,11
ancerviller,Ancerviller,11
anderny,Anderny,7
andilly,Andilly,7
angomont,Angomont,8
anoux,Anoux,5
ansauville,Ansauville,10
anthelupt,Anthelupt,9
armaucourt,Armaucourt,10
arnaville,Arnaville,9
arracourt,Arracourt,9
arraye-et-han,Arraye-et-Han,13
art-sur-meurthe,Art-sur-Meurthe,15
athienville,Athienville,11
atton,Atton,5
auboue,Auboué,6
audun-le-roman,Audun-le-Roman,14
autrepierre,Autrepierre,11
autreville-sur-moselle,Autreville-sur-Moselle,22
autrey,Autrey,6
avillers,Avillers,8
avrainville,Avrainville,11
avricourt,Avricourt,9
avril,Avril,5
azelot,Azelot,6
azerailles,Azerailles,10
baccarat,Baccarat,8
badonviller,Badonviller,11
bagneux,Bagneux,7
bainville-aux-miroirs,Bainville-aux-Miroirs,21
bainville-sur-madon,Bainville-sur-Madon,19
barbas,Barbas,6
barbonville,Barbonville,11
barisey-au-plain,Barisey-au-Plain,16
barisey-la-cote,Barisey-la-Côte,15
baslieux,Baslieux,8
bathelemont,Bathelémont,11
batilly,Batilly,7
battigny,Battigny,8
bauzemont,Bauzemont,9
bayon,Bayon,5
bayonville-sur-mad,Bayonville-sur-Mad,18
bazailles,Bazailles,9
beaumont,Beaumont,8
bechamps,Béchamps,8
belleau,Belleau,7
belleville,Belleville,10
benamenil,Bénaménil,9
benney,Benney,6
bernecourt,Bernécourt,10
bertrambois,Bertrambois,11
bertrichamps,Bertrichamps,12
bettainvillers,Bettainvillers,14
beuveille,Beuveille,9
beuvezin,Beuvezin,8
beuvillers,Beuvillers,10
bey-sur-seille,Bey-sur-Seille,14
bezange-la-grande,Bezange-la-Grande,17
bezaumont,Bezaumont,9
bicqueley,Bicqueley,9
bienville-la-petite,Bienville-la-Petite,19
bionville,Bionville,9
blainville-sur-l-eau,Blainville-sur-l'Eau,20
blamont,Blâmont,7
blemerey,Blémerey,8
blenod-les-pont-a-mousson,Blénod-lès-Pont-à-Mousson,25
blenod-les-toul,Blénod-lès-Toul,15
boismont,Boismont,8
boncourt,Boncourt,8
bonviller,Bonviller,9
borville,Borville,8
boucq,Boucq,5
bouillonville,Bouillonville,13
bouvron,Bouvron,7
bouxieres-aux-chenes,Bouxières-aux-Chênes,20
bouxieres-aux-dames,Bouxières-aux-Dames,19
bouxieres-sous-froidmont,Bouxières-sous-Froidmont,24
bouzanville,Bouzanville,11
brainville,Brainville,10
bralleville,Bralleville,11
bratte,Bratte,6
brehain-la-ville,Bréhain-la-Ville,16
bremenil,Bréménil,8
bremoncourt,Brémoncourt,11
briey,Briey,5
brin-sur-seille,Brin-sur-Seille,15
brouville,Brouville,9
bruley,Bruley,6
bruville,Bruville,8
buissoncourt,Buissoncourt,12
bulligny,Bulligny,8
bures,Bures,5
buriville,Buriville,9
burthecourt-aux-chenes,Burthecourt-aux-Chênes,22
ceintrey,Ceintrey,8
cerville,Cerville,8
chaligny,Chaligny,8
chambley-bussieres,Chambley-Bussières,18
champenoux,Champenoux,10
champey-sur-moselle,Champey-sur-Moselle,19
champigneulles,Champigneulles,14
chanteheux,Chanteheux,10
chaouilley,Chaouilley,10
charency-vezin,Charency-Vezin,14
charey,Charey,6
charmes-la-cote,Charmes-la-Côte,15
charmois,Charmois,8
chaudeney-sur-moselle,Chaudeney-sur-Moselle,21
chavigny,Chavigny,8
chazelles-sur-albe,Chazelles-sur-Albe,18
chenevieres,Chenevières,11
chenicourt,Chenicourt,10
chenieres,Chenières,9
choloy-menillot,Choloy-Ménillot,15
cirey-sur-vezouze,Cirey-sur-Vezouze,17
clayeures,Clayeures,9
clemery,Clémery,7
clerey-sur-brenon,Clérey-sur-Brenon,17
coincourt,Coincourt,9
colmey,Colmey,6
colombey-les-belles,Colombey-les-Belles,19
conflans-en-jarnisy,Conflans-en-Jarnisy,19
cons-la-grandville,Cons-la-Grandville,18
cosnes-et-romain,Cosnes-et-Romain,16
courbesseaux,Courbesseaux,12
courcelles,Courcelles,10
coyviller,Coyviller,9
crantenoy,Crantenoy,9
crepey,Crépey,6
