rewrite,gentile_h_ville,nbre_car
peyrillai,Peyrillai,9
pinsaguai,Pinsaguai,9
planioloi,Planioloi,9
pomaredien,Pomarédien,10
pontcirquoi,Pontcirquoi,11
pradinoi,Pradinoi,8
prayssacoi,Prayssacoi,10
prendeignoi,Prendeignoi,11
promilhanain,Promilhanain,12
prudhomatoi,Prudhomatoi,11
puy-l-evequoi,Puy-l'Evêquoi,13
puybrunai,Puybrunai,9
puyjordanoi,Puyjordanoi,11
quissacoi,Quissacoi,9
rampoussien,Rampoussien,11
reilhacoi,Reilhacoi,9
reilhaguetoi,Reilhaguetoi,12
reyrevignoi,Reyrevignoi,11
rignacoi,Rignacoi,8
amadourien,Amadourien,10
rouffilhacoi,Rouffilhacoi,12
rudelloi,Rudelloi,8
rueyros,Rueyros,7
sabadeloi,Sabadeloi,9
sabadelloi,Sabadelloi,10
saignoi,Saignoi,7
saillacoi,Saillacoi,9
bressoi,Bressoi,7
saint-capraisien,Saint-Capraisien,16
saint-cereen,Saint-Céréen,12
saint-cerninoi,Saint-Cerninoi,14
saint-chamarandai,Saint-Chamarandai,17
saint-cheloi,Saint-Chéloi,12
saint-cirguoi,Saint-Cirguoi,13
saint-cirquoi,Saint-Cirquoi,13
saint-cyrien,Saint-Cyrien,12
saint-cirguettoi,Saint-Cirguettoi,16
saint-clairoi,Saint-Clairoi,13
saint-cyprien,Saint-Cyprien,13
saint-daunesien,Saint-Daunésien,15
saint-daunisien,Saint-Daunisien,15
saint-dyonesien,Saint-Dyonésien,15
saint-felixoi,Saint-Félixoi,13
saint-germanai,Saint-Germanai,14
saint-geryen,Saint-Géryen,12
hilairoi,Hilairoi,8
jeanlauroi,Jeanlauroi,10
ginestoi,Ginestoi,8
jeannassien,Jeannassien,11
mirabelien,Mirabelien,10
saint-laurentai,Saint-Laurentai,15
saint-laurentien,Saint-Laurentien,16
saint-martinoi,Saint-Martinoi,14
saint-martivalien,Saint-Martivalien,17
saint-martinoi,Saint-Martinoi,14
saint-matreen,Saint-Matréen,13
saint-mauricoi,Saint-Mauriçoi,14
medardien,Médardien,9
saint-medardan,Saint-Médardan,14
saint-medardain,Saint-Médardain,15
saint-michelier,Saint-Michelier,15
saint-micheloi,Saint-Micheloi,14
saint-pantaleonien,Saint-Pantaléonien,18
saint-paulien,Saint-Paulien,13
saint-paulier,Saint-Paulier,13
saint-perdoussien,Saint-Perdoussien,17
saint-pierrien,Saint-Pierrien,14
saint-pierran,Saint-Pierran,13
saint-projetoi,Saint-Projetoi,14
salvadorien,Salvadorien,11
saint-simonai,Saint-Simonai,13
saint-sozyen,Saint-Sozyen,12
saint-sulpicien,Saint-Sulpicien,15
saint-vincentai,Saint-Vincentai,15
saint-vincentoi,Saint-Vincentoi,15
sainte-alauzien,Sainte-Alauzien,15
saint-colombin,Saint-Colombin,14
saint-crucien,Saint-Crucien,13
salviacoi,Salviacoi,9
sarrazacoi,Sarrazacoi,10
sauliacoi,Sauliacoi,9
saussien,Saussien,8
sauzetien,Sauzetien,9
senaillacoi,Sénaillacoi,11
senaillacoi,Sénaillacoi,11
senierguoi,Senierguoi,10
serignacoi,Sérignacoi,10
sonacoi,Sonacoi,7
soturacoi,Soturacoi,9
souciracoi,Souciracoi,10
souillagai,Souillagai,10
soulomessoi,Soulomessoi,11
sousceyracoi,Sousceyracoi,12
strenqueloi,Strenqueloi,11
tauriacoi,Tauriacoi,9
terronai,Terronai,8
teyssiolai,Teyssiolai,10
thediracoi,Thédiracoi,10
thegratoi,Thégratoi,9
theminoi,Théminoi,8
theminettoi,Théminettoi,11
tourdefauroi,Tourdefauroi,12
touzacoi,Touzacoi,8
trespouzien,Trespouzien,11
usselai,Usselai,7
uzechai,Uzéchai,7
vaillacoi,Vaillacoi,9
valpriondoi,Valpriondoi,11
valroufieroi,Valroufiéroi,12
varairoi,Varairoi,8
vaylatoi,Vaylatoi,8
vayracoi,Vayracoi,8
versoi,Versoi,6
viazacoi,Viazacoi,8
vidaillacoi,Vidaillacoi,11
villesequoi,Villesèquoi,11
viroi,Viroi,5
agenai,Agenai,6
agmeen,Agméen,6
agnacoi,Agnacoi,7
aiguillonnai,Aiguillonnai,12
allemanai,Allemanai,9
allezien,Allézien,8
allonai,Allonai,7
ambrusien,Ambrusien,9
andiranai,Andiranai,9
antagnacai,Antagnacai,10
anzexoi,Anzexoi,7
argentonnai,Argentonnai,11
armillacai,Armillacai,10
astaffortai,Astaffortai,11
aubiacai,Aubiacai,8
auratorien,Auratorien,10
auriacai,Auriacai,8
bajamontai,Bajamontai,10
baleyssaguai,Baleyssaguai,12
barbastai,Barbastai,9
beaugassien,Beaugassien,11
bellopodien,Bellopodien,11
beauvilloi,Beauvilloi,10
beauziacai,Beauziacai,10
biassai,Biassai,7
biracai,Biracai,7
blaymontoi,Blaymontoi,10
boetien,Boétien,7
bon-encontrai,Bon-Encontrai,13
bouglonnai,Bouglonnai,10
bourgougnaguai,Bourgougnaguai,14
bourneloi,Bourneloi,9
bourranai,Bourranai,9
boussesin,Boussesin,9
braxoi,Braxoi,6
bruchoi,Bruchoi,7
brugnacai,Brugnacai,9
buzequai,Buzéquai,8
calignacoi,Calignacoi,10
calongeai,Calongeai,9
canconnai,Canconnai,9
casseneuilloi,Casseneuilloi,13
cassignacai,Cassignacai,11
castelfondai,Castelfondai,12
casteljalousain,Casteljalousain,15
chatelain,Chatelain,9
castelmoronai,Castelmoronai,13
castelnaudais-de-gupie,Castelnaudais-de-Gupie,22
castelnaudai,Castelnaudai,12
castillonnesien,Castillonnésien,15
caubeyrai,Caubeyrai,9
caubonnai,Caubonnai,9
caudecostoi,Caudecostoi,11
cavarcoi,Cavarcoi,8
cazideroquoi,Cazideroquoi,12
clairacai,Clairacai,9
clermontoi,Clermontoi,10
clermontoi,Clermontoi,10
cocumontai,Cocumontai,10
colayracai,Colayracai,10
condezayguai,Condezayguai,12
coulxoi,Coulxoi,7
courbiacai,Courbiacai,10
couthurain,Couthurain,10
cuquoi,Cuquoi,6
cuzornai,Cuzornai,8
damazanai,Damazanai,9
dolmayracai,Dolmayracai,11
dondassien,Dondassien,10
doudracai,Doudracai,9
durancai,Durançai,8
duraquoi,Duraquoi,8
engayracai,Engayracai,10
escassefortai,Escassefortai,13
espiennai,Espiennai,9
estillacai,Estillacai,10
faloi,Faloi,5
farguai,Farguai,7
fauguerollai,Fauguerollai,12
fauilletai,Fauilletai,10
ferrensacoi,Ferrensacoi,11
feugarollai,Feugarollai,11
fongravai,Fongravai,9
foulayronnai,Foulayronnai,12
fourquai,Fourquai,8
frespechoi,Frespechoi,10
fumeloi,Fuméloi,7
gaujacai,Gaujacai,8
gavaudunoi,Gavaudunoi,10
gontaudai,Gontaudai,9
grangeai,Grangeai,8
grateloupai,Grateloupai,11
grezetoi,Grézetoi,8
guerinai,Guerinai,8
hautesvignai,Hautesvignai,12
houeillessai,Houeillessai,12
jusiquai,Jusiquai,8
cruciblanchai,Cruciblanchai,13
reunionai,Réunionai,9
saverien,Savérien,8
sauvetatoi,Sauvetatoi,10
labastidoi,Labastidoi,10
labretonien,Labretonien,11
capelain,Capelain,8
caussadencs,Caussadencs,11
lacepedoi,Lacépédoi,9
chapelloi,Chapelloi,9
lagarrigai,Lagarrigai,10
lagruerien,Lagruérien,10
gupiai,Gupiai,6
montjoyard,Montjoyard,10
lannai,Lannai,6
laparadai,Laparadai,9
pennavien,Pennavien,9
roquentin,Roquentin,9
lasserroi,Lasserroi,9
laugnacai,Laugnacai,9
lauzunai,Lauzunai,8
lavardacai,Lavardacai,10
lavergnoi,Lavergnoi,9
layracai,Layracai,8
massai,Massai,6
passageoi,Passageoi,9
ledatai,Lédatai,7
levignacai,Lévignacai,10
leyritzai,Leyritzai,9
longuevilloi,Longuevilloi,12
lougrattai,Lougrattai,10
madaillanai,Madaillanai,11
marcellusien,Marcellusien,12
marmandai,Marmandai,9
massoulessoi,Massoulessoi,12
mauvezinoi,Mauvezinoi,10
meilhanai,Meilhanai,9
mezinai,Mézinai,7
miramontai,Miramontai,10
moiracai,Moiracai,8
monbahusien,Monbahusien,11
monbalenoi,Monbalenoi,10
moncautoi,Moncautoi,9
monclarai,Monclarai,9
moncrabelai,Moncrabelai,11
monflanquinoi,Monflanquinoi,13
mongaillardai,Mongaillardai,13
monheurquai,Monheurquai,11
monsempronnai,Monsempronnai,13
montagnacai,Montagnacai,11
montastrucai,Montastrucai,12
montautai,Montautai,9
montayralai,Montayralai,11
montesquinoi,Montesquinoi,12
montenai,Montenai,8
montignacai,Montignacai,11
montpezacai,Montpezacai,11
montpouillanai,Montpouillanai,14
mousterrien,Mousterrien,11
neracai,Néracai,7
nicolai,Nicolai,7
dieunommes,Dieunommés,10
paillolai,Paillolai,9
pardaillannai,Pardaillannai,13
parranquai,Parranquai,10
paulhiacai,Paulhiacai,10
pennoi,Pennoi,6
peyrieroi,Peyriéroi,9
pinderai,Pindérai,8
pompieyen,Pompieyen,9
pompognai,Pompognai,9
cassipontin,Cassipontin,11
portai,Portai,6
poudenaquai,Poudenaquai,11
poussignacai,Poussignacai,12
puchoi,Puchoi,6
pujolai,Pujolai,7
puymiclanai,Puymiclanai,11
puymirolai,Puymirolai,10
reaupai,Reaupai,7
romestaingai,Romestaingai,12
roquefortai,Roquefortai,11
roumagnai,Roumagnai,9
ruffiacai,Ruffiacai,9
antonin,Antonin,7
barthelemeen,Barthéleméen,12
saint-colombin,Saint-Colombin,14
stephanoi,Stéphanoi,9
saint-frontai,Saint-Frontai,13
saint-legeroi,Saint-Légéroi,13
saint-leonnai,Saint-Léonnai,13
curtonai,Curtonai,8
petit-martinoi,Petit-Martinoi,14
saint-mauricoi,Saint-Mauriçoi,14
pardulfien,Pardulfien,10
saint-pierroi,Saint-Pierroi,13
saint-quentinoi,Saint-Quentinoi,15
saint-robertoi,Saint-Robertoi,14
romaintoi,Romaintoi,9
salvatorien,Salvatorien,11
saint-serniquoi,Saint-Serniquoi,15
saint-sixtoi,Saint-Sixtoi,12
saint-sylvestroi,Saint-Sylvestroi,16
vincentmontjouai,Vincentmontjouai,16
saint-vitoi,Saint-Vitoi,11
bazeillai,Bazeillai,9
sainte-colombin,Sainte-Colombin,15
gemmai,Gemmai,6
saint-livradai,Saint-Livradai,14
saint-marthai,Saint-Marthai,13
peyriacai,Peyriacai,9
salloi,Salloi,6
samazanai,Samazanai,9
saumejanai,Saumejanai,10
saumonai,Saumonai,8
sauveterroi,Sauveterroi,11
savignacai,Savignacai,10
segalasien,Ségalasien,10
senestissoi,Sénestissoi,11
serignacai,Sérignacai,10
seychoi,Seychoi,7
sotiate,Sotiate,7
soumensacai,Soumensacai,11
tayracai,Tayracai,8
thezacai,Thézacai,8
thouarquai,Thouarquai,10
tombeboeuvoi,Tombeboeuvoi,12
tonneinquai,Tonneinquai,11
tournonnai,Tournonnai,10
tourtresien,Tourtrésien,11
tremontai,Trémontai,9
trentelloi,Trentelloi,10
varesien,Varésien,8
verteuillai,Verteuillai,11
viannai,Viannai,7
queyrannai,Queyrannai,10
villeneuvoi,Villeneuvoi,11
villeneuvoi,Villeneuvoi,11
villerealai,Villeréalai,11
villetonnai,Villetonnai,11
virazeillai,Virazeillai,11
xaintraillai,Xaintraillai,12
albaretoi,Albaretoi,9
albaretai,Albaretai,9
allencoi,Allencoi,8
altieroi,Altiéroi,8
antrenoi,Antrenoi,8
arzencoi,Arzencoi,8
arzencoi,Arzencoi,8
aumonai,Aumonai,7
aurousien,Aurousien,9
badarousien,Badarousien,11
bagnolai,Bagnolai,8
balsiegeoi,Balsiégeoi,10
banassacoi,Banassacoi,10
barjacoi,Barjacoi,8
barroi,Barroi,6
bassureloi,Bassureloi,10
bedouesquin,Bédouesquin,11
belvezetoi,Belvezétoi,10
blavignacoi,Blavignacoi,11
brenoussien,Brenoussien,11
brionai,Brionai,7
canilhacoi,Canilhacoi,10
cassagnai,Cassagnai,9
chadenetien,Chadenetien,11
chambonnai,Chambonnai,10
chanacoi,Chanacoi,8
chasseradessoi,Chasseradessoi,14
chastanieroi,Chastaniéroi,12
castelnovien,Castelnovien,12
castelrandonnai,Castelrandonnai,15
chauchailloi,Chauchailloi,12
chaudeyracien,Chaudeyracien,13
chaulhacien,Chaulhacien,11
cheylardien,Cheylardien,11
chiracoi,Chiracoi,8
cocuresien,Cocurésien,10
cubierien,Cubiérien,9
cubierettoi,Cubiérettoi,11
culturoi,Culturoi,8
esclanedien,Esclanédien,11
establien,Establien,9
falien,Falien,6
floracoi,Floracoi,8
fontanai,Fontanai,8
fontanain,Fontanain,9
fournelai,Fournelai,9
fraissinetai,Fraissinetai,12
fraissinetien,Fraissinetien,13
gabriacien,Gabriacien,10
gabriasoi,Gabriasoi,9
gatuzieroi,Gatuziéroi,10
grandrioloi,Grandrioloi,11
grandvalien,Grandvalien,11
grezien,Grézien,7
hurien,Hurien,6
ispagnacoi,Ispagnacoi,10
javolai,Javolai,7
juliangien,Juliangien,10
bastidoi,Bastidoi,8
canourguai,Canourguai,10
chazien,Chazien,7
fageai,Fageai,6
fagien,Fagien,6
malenai,Malénai,7
panousien,Panousien,9
salle-prunetai,Salle-Prunetai,14
tieuloi,Tieuloi,7
villadeen,Villadéen,9
coperoches,Coperoches,10
lajolien,Lajolien,8
langonai,Langonai,8
lanuejoloi,Lanuéjoloi,10
laubertoi,Laubertoi,9
lavalain,Lavalain,8
lavalai,Lavalai,7
bleymardoi,Bleymardoi,10
borniquels,Borniquels,10
buissonnets,Buissonnets,11
colletain,Collétain,9
malziolain,Malziolain,10
malzevien,Malzévien,9
massegrain,Massegrain,10
monastierien,Monastiérien,12
pompidolien,Pompidolien,11
pontoi,Pontoi,6
recoussien,Recoussien,10
rozieroi,Roziéroi,8
bessonai,Bessonai,8
bondonien,Bondonien,9
hermalzien,Hermalzien,10
laubien,Laubien,7
vermondoi,Vermondoi,9
salceen,Salcéen,7
salelloi,Salelloi,8
vignoi,Vignoi,6
lucoi,Lucoi,5
malbouzonoi,Malbouzonoi,11
marchasteloi,Marchastéloi,12
marvejolai,Marvejolai,10
masorcieroi,Masorciéroi,11
mas-chelyen,Mas-Chélyen,11
mendoi,Mendoi,6
meyrueisien,Meyrueisien,11
moissacoi,Moissacoi,9
molezonien,Molézonien,10
montbelloi,Montbelloi,10
montbrunels,Montbrunels,11
montrodatien,Montrodatien,12
nasbinalai,Nasbinalai,10
naussacoi,Naussacoi,9
noalhacoi,Noalhacoi,9
palheroi,Palhéroi,8
paulhacoi,Paulhacoi,9
pelousien,Pelousien,9
pedibornoi,Pédibornoi,10
pierrefichoi,Pierrefichoi,12
pourcharessoi,Pourcharessoi,13
prevencheroi,Prévenchéroi,12
prinsuejolien,Prinsuéjolien,13
prunieroi,Pruniéroi,9
quezacai,Quézacai,8
recoulai,Recoulai,8
recouloi,Recouloi,8
ribennoi,Ribennoi,8
rieutortai,Rieutortai,10
rimeizien,Rimeizien,9
roclai,Roclai,6
roussoi,Roussoi,7
saint-albanai,Saint-Albanai,13
saint-amanien,Saint-Amanien,13
andeolien,Andéolien,9
andrecezoi,Andrécézoi,10
andrelancizoi,Andrélancizoi,13
bauzilien,Bauzilien,9
bonnetien,Bonnetien,9
bonnetai,Bonnetai,8
barrabands,Barrabands,10
saint-dionysai,Saint-Dionysai,14
valdonnezien,Valdonnezien,12
valfrancien,Valfrancien,11
saint-flourien,Saint-Flourien,14
frezalien,Frézalien,9
saint-frezalai,Saint-Frézalai,14
saint-galien,Saint-Galien,12
saint-georgien,Saint-Georgien,14
saint-germainoi,Saint-Germainoi,15
saint-germanai,Saint-Germanai,14
saint-hilairain,Saint-Hilairain,15
jeanfouillousoi,Jeanfouillousoi,15
saint-jueryen,Saint-Juéryen,13
saint-julion,Saint-Julion,12
pontels,Pontels,7
tourneloi,Tourneloi,9
saint-laurentai,Saint-Laurentai,15
laurentrevoi,Laurentrévoi,12
veyresien,Veyrésien,9
saint-legerai,Saint-Légérai,13
saint-legeroi,Saint-Légéroi,13
boubaussoi,Boubaussoi,10
lansusclai,Lansusclai,10
saint-mauricai,Saint-Mauriçai,14
saint-michelien,Saint-Michelien,15
saint-paulan,Saint-Paulan,12
saint-pierrien,Saint-Pierrien,14
saint-pierrier,Saint-Pierrier,14
saint-pierreux,Saint-Pierreux,14
privatier,Privatier,9
privatain,Privatain,9
saint-roman,Saint-Roman,11
saint-saturnien,Saint-Saturnien,15
salvadorien,Salvadorien,11
salvadorai,Salvadorai,10
saint-symphorian,Saint-Symphorian,16
sainte-colombain,Sainte-Colombain,16
saint-crussai,Saint-Crussai,13
santrimiols,Santrimiols,11
sainte-eulalai,Sainte-Eulalai,14
sainte-helenoi,Sainte-Hélénoi,14
serverettoi,Serverettoi,11
servierai,Serviérai,9
termoi,Termoi,6
trelandai,Trélandai,9
vebronnai,Vebronnai,9
vialassien,Vialassien,10
villefortai,Villefortai,11
allonnai,Allonnai,8
castel-ambilloucoi,Castel-Ambillouçoi,18
andardai,Andardai,8
andigneen,Andignéen,9
andrezeen,Andrezéen,9
angevin,Angevin,7
angrien,Angrien,7
armailleen,Armailléen,10
artannai,Artannai,8
aubignoi,Aubignoi,8
auversoi,Auversoi,8
avireen,Aviréen,7
avrillai,Avrillai,8
baraceen,Baracéen,8
baugeoi,Baugeoi,7
bauneen,Baunéen,7
beaucouzeen,Beaucouzéen,11
beaufortain,Beaufortain,11
belloquoi,Belloquoi,9
bellopratain,Bellopratain,12
beaussoi,Beaussoi,8
beauvalloi,Beauvalloi,10
beconnai,Béconnai,8
begrollai,Bégrollai,9
behuardai,Béhuardai,9
blaisonnai,Blaisonnai,10
blosien,Blosien,7
boceen,Bocéen,6
botzeen,Botzéen,7
bouchemainoi,Bouchemainoi,12
bouilleen,Bouilléen,9
episcopalien,Episcopalien,12
viconoveen,Viconovéen,10
buzilliaceen,Buzilliacéen,12
brainoi,Brainoi,7
brainoi,Brainoi,7
brainoi,Brainoi,7
breilloi,Breilloi,8
brezeen,Brézéen,7
brigneen,Brignéen,8
briollaytain,Briollaytain,12
brionnai,Brionnai,8
brissacoi,Brissacoi,9
brissarthoi,Brissarthoi,11
brocoi,Brocoi,6
brossayen,Brossayen,9
candeen,Candéen,7
cantenaysien,Cantenaysien,12
carbaisien,Carbaisien,10
cernussonai,Cernussonai,11
chaceen,Chacéen,7
chalainoi,Chalainoi,9
chalonnai,Chalonnai,9
chalonnai,Chalonnai,9
cambolitain,Cambolitain,11
champenai,Champenai,9
champigneen,Champignéen,11
champteusseen,Champteusséen,13
champtoceen,Champtocéen,11
castrocelsien,Castrocelsien,13
cantelupien,Cantelupien,11
chanzeen,Chanzéen,8
charceen,Charcéen,8
chartreneen,Chartrénéen,11
castelneuvien,Castelneuvien,13
chatelaisien,Châtelaisien,12
califontain,Califontain,11
calderonnai,Caldéronnai,11
chaumontai,Chaumontai,10
chavagnai,Chavagnai,9
chavaignai,Chavaignai,10
chazeen,Chazéen,7
chazeen,Chazéen,7
cheffoi,Cheffoi,7
chemelloi,Chemelloi,9
chemilloi,Chemilloi,9
chemiroi,Chemiroi,8
chenehuttoi,Chênehuttoi,11
chinilien,Chinilien,9
chereen,Cheréen,7
chevireen,Cheviréen,9
bedouin,Bédouin,7
choletai,Choletai,8
clefoi,Cléfoi,6
clereen,Cléréen,7
combreen,Combréen,8
concoursonnai,Concoursonnai,13
contigneen,Contignéen,10
corneai,Cornéai,7
cornilloi,Cornilloi,9
coronnai,Coronnai,8
corzeen,Corzéen,7
cosseen,Cosséen,7
courchampoi,Courchampoi,11
courleonai,Courléonai,10
couturoi,Couturoi,8
cuonnai,Cuonnai,7
daumereen,Daumeréen,9
deneen,Denéen,6
denezeen,Denezéen,8
denezeen,Denezéen,8
distreen,Distréen,8
douessin,Douessin,8
drainoi,Drainoi,7
durtaloi,Durtaloi,8
echemireen,Echemiréen,10
ecouflantai,Ecouflantai,11
eculeen,Eculéen,7
epiedoi,Epiedoi,7
etricheen,Etrichéen,9
machelloi,Machelloi,9
fayen,Fayen,5
fanouin,Fanouin,7
fontenoi,Fontenoi,8
milonnai,Milonnai,8
fontevriste,Fontevriste,11
forgeen,Forgéen,7
fougereen,Fougéréen,9
freigneen,Freignéen,9
geen,Géen,4
geneen,Genéen,6
gennoi,Gennoi,6
gennetellai,Gennetellai,11
gestoi,Gestoi,6
grez-neuvilloi,Grez-Neuvilloi,14
grezilloi,Grézilloi,9
grugeen,Grugéen,7
huilleen,Huilléen,8
ingrandai,Ingrandai,9
jallaisien,Jallaisien,10
jarzeen,Jarzéen,7
juigneen,Juignéen,8
juvardeillai,Juvardeillai,12
hostello-flavien,Hostello-Flavien,16
bohallien,Bohallien,9
buissierain,Buissiérain,11
breilloi,Breilloi,8
capello-genestoi,Capello-Genestoi,16
castel-hullinoi,"Castel Hullinoi",15
rousselinoi,Rousselinoi,11
capello-florentai,Capello-Florentai,17
capellaudain,Capellaudain,12
chapelloi,Chapelloi,9
chaussairoi,Chaussairoi,11
cornuaillai,Cornuaillai,11
daguenai,Daguenai,8
ferfleen,Ferfléen,8
fosseen,Fosséen,7
jaonnai,Jaonnai,7
jubaudoi,Jubaudoi,8
jumellinoi,Jumellinoi,10
karolandai,Karolandai,10
meignannai,Meignannai,10
membrollai,Membrollai,10
menitreen,Ménitréen,9
pellerinoi,Pellerinoi,10
plainai,Plainai,7
pictavinerien,Pictavinérien,13
pommereen,Pommeréen,9
possonneen,Possonnéen,10
pouezeen,Pouëzéen,8
epervier,Epervier,8
renaudin,Renaudin,8
romagnon,Romagnon,8
sallesien,Sallésien,9
aubryen,Aubryen,7
zignerai,Zignérai,8
tessouallai,Tessouallai,11
landericien,Landericien,11
varennai,Varennai,8
landemontai,Landemontai,11
lassoi,Lassoi,6
bourg-d-ireen,"Bourg d'Iréen",13
coudraisien,Coudraisien,11
sauvinoi,Sauvinoi,8
fuiletai,Fuiletai,8
guedaniellissoi,Guedaniellissoi,15
lionnai,Lionnai,7
longeronnai,Longeronnai,11
loretain,Lorétain,8
marillaisien,Marillaisien,12
maytai,Maytai,6
mesniloi,Mesniloi,8
pinoi,Pinoi,5
plessiai,Plessiai,8
plessis-maceen,Plessis-Macéen,14
puiset-doreen,Puiset-Doréen,13
penot,Penot,5
thoureillai,Thoureillai,11
tremblaysien,Tremblaysien,12
alleusien,Alleusien,9
cerquoi,Cerquoi,7
cerqueunai,Cerqueunai,10
ponts-de-ceai,Ponts-de-Céai,13
rairieux,Rairieux,8
rosieroi,Rosiéroi,8
ulmoi,Ulmoi,5
vercheen,Verchéen,8
lezigneen,Lézignéen,9
linieroi,Liniéroi,8
lireen,Liréen,6
loireen,Loiréen,7
longueens-jumelloi,Longuéens-Jumelloi,18
lorien,Lorien,6
louressien,Louressien,10
louvenoi,Louvenoi,8
lueen,Luéen,5
luigneen,Luignéen,8
marantai,Marantai,8
marceen,Marcéen,7
marigneen,Marignéen,9
martineen,Martinéen,9
maulevrai,Maulévrai,9
mazeiai,Mazéiai,7
mazierai,Maziérai,8
meigneen,Meignéen,8
meigneen,Meignéen,8
meonai,Méonai,6
mireen,Miréen,6
montoi,Montoi,6
montfortai,Montfortai,10
montguillonnai,Montguillonnai,14
ignemontain,Ignémontain,11
monteglesien,Montéglésien,12
montjeannai,Montjeannai,11
montreuillai,Montreuillai,12
montreuillai,Montreuillai,12
monsteriolai,Monsteriolai,12
montreuillai,Montreuillai,12
montrebellien,Montrebellien,13
montsorelien,Montsorelien,12
morannai,Morannai,8
moulihernai,Moulihernai,11
mozeen,Mozéen,6
erimuroi,Erimûroi,8
neuilleen,Neuilléen,9
neuvilloi,Neuvilloi,9
noelletain,Noëlletain,10
allenconnai,Allençonnai,11
noyantai,Noyantai,8
noyantai,Noyantai,8
noyantai,Noyantai,8
nuaillai,Nuaillai,8
nueillai,Nueillai,8
nyoisien,Nyoisien,8
parcayai,Parçayai,8
parnaisien,Parnaisien,10
passavantai,Passavantai,11
pellouaillai,Pellouaillai,12
pouanceen,Pouancéen,9
pruilleen,Pruilléen,9
quereen,Queréen,7
rablayen,Rablayen,8
rochefortai,Rochefortai,11
roumarsonnai,Roumarsonnai,12
roussayai,Roussayai,9
andreatain,Andréatain,10
aubinoi,Aubinoi,7
saint-augustinoi,Saint-Augustinoi,16
bartholomeen,Bartholoméen,12
christophorien,Christophorien,14
christoforien,Christoforien,13
clementai,Clémentai,9
saint-clementai,Saint-Clémentai,15
crespinoi,Crespinoi,9
saint-cyrien,Saint-Cyrien,12
florentai,Florentai,9
saint-georgien,Saint-Georgien,14
saint-georgeoi,Saint-Georgeoi,14
saint-georgeoi,Saint-Georgeoi,14
saint-georgeoi,Saint-Georgeoi,14
saint-georgeoi,Saint-Georgeoi,14
germanopratain,Germanopratain,14
germinoi,Germinoi,8
jeanicrussien,Jeanicrussien,13
linieroi,Liniéroi,8
malvretoi,Malvretoi,9
saint-justin,Saint-Justin,12
saint-lambertin,Saint-Lambertin,15
lambertoi,Lambertoi,9
planilaurentai,Planilaurentai,14
laurentai,Laurentai,9
laurentai,Laurentai,9
legeroi,Légéroi,7
saint-legeoi,Saint-Légeoi,12
licinien,Licinien,8
saint-macairoi,Saint-Macairoi,14
macairoi,Macairoi,8
saint-martinien,"Saint Martinien",15
boscovien,Boscovien,9
foliosain,Foliosain,9
mathurinoi,Mathurinoi,10
melainoi,Melainoi,8
micheloi,Micheloi,8
saint-paulai,"Saint Paulai",12
philbertai,Philbertai,10
philbertain,Philbertain,11
montlimartoi,Montlimartoi,12
saint-quentinoi,"Saint Quentinoi",15
saint-quentinoi,"Saint Quentinoi",15
remygeoi,Rémygeoi,8
saint-remoi,"Saint Rémoi",11
saournien,Saournien,9
flavien,Flavien,7
saint-salvatorien,"Saint Salvatorien",17
saint-sigismondai,"Saint Sigismondai",17
saint-sulpicien,"Saint Sulpicien",15
saint-sylvanai,"Saint Sylvanai",14
christinoi,Christinoi,10
gemmoi,Gemmoi,6
gemmoi,Gemmoi,6
sarrigneen,Sarrignéen,10
saulgeen,Saulgéen,8
saumuroi,Saumuroi,8
saponarien,Saponarien,10
salcien,Salcien,7
segreen,Segréen,7
seichoi,Seichoi,7
sermaisien,Sermaisien,10
soeurdreen,Soeurdréen,10
somloirai,Somloirai,9
soucelloi,Soucelloi,9
soulainoi,Soulainoi,9
soleirebourgien,Soléirébourgien,15
souzeen,Souzéen,7
tancoigneen,Tancoignéen,11
thorigneen,Thorignéen,10
thouarceen,Thouarcéen,10
tierceen,Tiercéen,8
tigneen,Tignéen,7
tillieroi,Tillièroi,9
torfousien,Torfousien,10
toutlemondai,Toutlemondai,12
trelazeen,Trélazéen,9
trementinai,Trémentinai,11
tremontoi,Trémontoi,9
turquantoi,Turquantoi,10
valanjevin,Valanjevin,10
varennai,Varennai,8
varrinoi,Varrinoi,8
valchristinoi,Valchristinoi,13
valdenaisien,Valdenaisien,12
vergonnai,Vergonnai,9
vernoi,Vernoi,6
vernantai,Vernantai,9
vernoilai,Vernoilai,9
verrinoi,Verrinoi,8
vezinai,Vezinai,7
vihiersoi,Vihiersoi,9
villebernoi,Villebernoi,11
theopolitain,Théopolitain,12
villemoisanai,Villemoisanai,13
villevequoi,Villevêquoi,11
vetusien,Vétusien,8
yzernoi,Yzernoi,7
acquevillai,Acquevillai,11
agnelai,Agnelai,7
agonais-coutainvillai,Agonais-Coutainvillai,21
airelloi,Airelloi,8
amfrevillai,Amfrevillai,11
anctevillai,Anctevillai,11
anctovillai,Anctovillai,11
angeen,Angéen,6
angovillai,Angovillai,10
angovillai,Angovillai,10
annevillai,Annevillai,10
annevillai,Annevillai,10
annovillai,Annovillai,10
appevillai,Appevillai,10
argougeoi,Argougeoi,9
auceen,Aucéen,6
audervillai,Audervillai,11
andouvillai,Andouvillai,11
aumevillai,Aumevillai,10
auversoi,Auversoi,8
