rewrite,gentile_h_ville
drinchamois,Drinchamois
dunkerquois,Dunkerquois
ebblinghemois,Ebblinghemois
ecaillonnais,Ecaillonnais
ecclois,Ecclois
eclaibois,Eclaibois
ecuelinois,Ecuelinois
eeckois,Eeckois
elesmois,Elesmois
elincourtois,Elincourtois
emerchicourtois,Emerchicourtois
emmerinois,Emmerinois
englefontainois,Englefontainois
englosien,Englosien
ennetierois,Ennetiérois
ennevelinois,Ennevelinois
eppois,Eppois
erchinois,Erchinois
eringhemois,Eringhémois
erquinghemois,Erquinghemois
erquinghemmois,Erquinghemmois
errois,Errois
escarminois,Escarminois
escaudinois,Escaudinois
scaldobrigien,Scaldobrigien
escautpontois,Escautpontois
escobecquois,Escobecquois
esnois,Esnois
esquelbecquois,Esquelbecquois
esquerchinois,Esquerchinois
estairois,Estairois
estourmelois,Estourmelois
estresien,Estrésien
estreusien,Estreusien
estrunois,Estrunois
eswarsien,Eswarsien
ethois,Ethois
courbeteux,Courbeteux
faches-thumesnilois,Faches-Thumesnilois
sarrasin,Sarrasin
faumontois,Faumontois
fechinois,Féchinois
finesien,Finésien
fleurisien,Fleurisien
fenainois,Fenainois
ferinois,Férinois
feronais,Féronais
ferrierois,Ferriérois
ferrierois,Ferrièrois
flaumontois,Flaumontois
flersois,Flersois
flesquerois,Flesquerois
fletrois,Flêtrois
flinois,Flinois
flinois,Flinois
floursicien,Floursicien
floyonnais,Floyonnais
fontagnard,Fontagnard
fontenois,Fontenois
fontenois,Fontenois
foresien,Forésien
forestois,Forestois
fourmisien,Fourmisien
fournois,Fournois
fresnotain,Fresnotain
frelinghinois,Frelinghinois
fresnois,Fresnois
fressinois,Fressinois
fressinois,Fressinois
fretinois,Fretinois
fromellois,Fromellois
genechois,Genechois
ghissignien,Ghissignien
ghyveldois,Ghyveldois
glageonnais,Glageonnais
godewaersveldois,Godewaersveldois
goeulzinois,Goeulzinois
gognisien,Gognisien
gommegnion,Gommegnion
gondecourtois,Gondecourtois
ganelon,Ganelon
gouzeaucourtois,Gouzeaucourtois
fagusien,Fagusien
philippois,Philippois
grand-synthois,Grand-Synthois
gravelinois,Gravelinois
grusonnois,Grusonnois
guesninois,Guesninois
gussignien,Gussignien
hallennois,Hallennois
halluinois,Halluinois
hamelois,Hamelois
hantayeurs,Hantayeurs
hardifortois,Hardifortois
hargniesien,Hargniesien
hasnonais,Hasnonais
hasprien,Hasprien
haubourdinois,Haubourdinois
haulchinois,Haulchinois
haussois,Haussois
hautlieusard,Hautlieusard
hautmontois,Hautmontois
haveluynois,Haveluynois
haverskerquois,Haverskerquois
haynecourtois,Haynecourtois
hazebrouckois,Hazebrouckois
hecquois,Hecquois
helesmois,Hélesmois
hemois,Hémois
hemilengletois,Hemilengletois
hergnisien,Hergnisien
herinois,Hérinois
herlilois,Herlilois
herrinnois,Herrinnois
herzeelois,Herzeelois
hestrudien,Hestrudien
holquois,Holquois
hon-hergeois,Hon-Hergeois
hondeghemois,Hondeghemois
hondschootois,Hondschootois
hunyclesien,Hunyclésien
honnecourtois,Honnecourtois
hordinois,Hordinois
hornaingeois,Hornaingeois
houdinois,Houdinois
houplinois,Houplinois
houplinois,Houplinois
houtkerquois,Houtkerquois
hoymillois,Hoymillois
illilois,Illilois
inchesien,Inchésien
iwuysien,Iwuysien
jenlinois,Jenlinois
jeumontois,Jeumontois
jolimessin,Jolimessin
killemois,Killemois
basseen,Basséen
chapellois,Chapellois
flamengrois,Flamengrois
gorguillon,Gorguillon
groisien,Groisien
longuevillois,Longuevillois
madeleinois,Madeleinois
neuvillois,Neuvillois
sentinellois,Sentinellois
lallinois,Lallinois
lambersartois,Lambersartois
lambresien,Lambresien
landasien,Landasien
landrecien,Landrecien
lannoyens,Lannoyens
larouillois,Larouillois
lauwinois,Lauwinois
catesien,Catésien
doulieusien,Doulieusien
favrilois,Favrilois
maisnilois,Maisnilois
quercitain,Quercitain
lecellois,Lecellois
leclusien,Léclusien
lederzeelois,Lederzeelois
ledringhemois,Ledringhemois
leersois,Leersois
leffrinckouckois,Leffrinckouckois
les-rues-des-vinois,Les-Rues-des-Vinois
lesdainois,Lesdainois
lesquinois,Lesquinois
levallois,Levallois
lewardois,Lewardois
lezfontainois,Lezfontainois
lezennois,Lezennois
laetitien,Laetitien
lieu-saint-amandinois,Lieu-Saint-Amandinois
lignysien,Lignysien
lillois,Lillois
limontois,Limontois
linsellois,Linsellois
locquignolais,Locquignolais
loffrien,Loffrien
lompretois,Lompretois
looberghois,Looberghois
loonois,Loonois
loossois,Loossois
lourchois,Lourchois
louvignois,Louvignois
louvillois,Louvillois
louvroilien,Louvroilien
lyndois,Lyndois
lyssois,Lyssois
maingeois,Maingeois
mairieusien,Mairieusien
malincourtois,Malincourtois
marbaisien,Marbaisien
marchiennois,Marchiennois
marconien,Marconien
marcquois,Marcquois
marcquois,Marcquois
mareschois,Mareschois
maretzien,Maretzien
marlitron,Marlitron
maroillais,Maroillais
marpentois,Marpentois
marquetton,Marquetton
marquettois,Marquettois
marquillois,Marquillois
manierois,Manièrois
masnysien,Masnysien
mastinois,Mastinois
maubeugeois,Maubeugeois
mauldois,Mauldois
maurausien,Maurausien
mazinghienois,Mazinghienois
macognien,Macognien
merckeghemois,Merckeghemois
merignisien,Mérignisien
merrisien,Merrisien
mervillois,Mervillois
meterennois,Méterennois
millamois,Millamois
millonfossois,Millonfossois
moeuvrien,Moeuvrien
monceen,Moncéen
moncalcien,Moncalcien
monchelois,Monchelois
monchecourtois,Monchecourtois
monsois,Monsois
pevelois,Pévèlois
montagnard,Montagnard
montignacien,Montignacien
montignanais,Montignanais
montrecourtois,Montrécourtois
morbecquois,Morbecquois
mortagnais,Mortagnais
mouchinois,Mouchinois
mousterien,Moustérien
mouvallois,Mouvallois
navois,Navois
neuf-berquinois,Neuf-Berquinois
neufmesnilois,Neufmesnilois
neuvillois,Neuvillois
neuvillois,Neuvillois
neuvillois,Neuvillois
neuvillois,Neuvillois
neuvillois,Neuvillois
nieppois,Nieppois
niergnien,Niergnien
nieurletois,Nieurletois
nivellois,Nivellois
nomainois,Nomainois
noordpeenois,Noordpéenois
noyellois,Noyellois
noyellois,Noyellois
noyellais,Noyellais
noyellois,Noyellois
obitain,Obitain
obrechien,Obréchien
ochtezeelois,Ochtezeelois
odomezien,Odomezien
ohainais,Ohainais
oisillon,Oisillon
onnaingeois,Onnaingeois
oost-cappelois,Oost-Cappelois
orchesien,Orchésien
orsois,Orsois
orsinvalois,Orsinvalois
ostricourtois,Ostricourtois
oudezeelois,Oudezeelois
oxelaerois,Oxelaërois
paillencourtois,Paillencourtois
pecquencourtois,Pecquencourtois
perenchinois,Pérenchinois
peronnais,Péronnais
fagusien,Fagusien
franches-foresi,Franches-Forési
phalempinois,Phalempinois
pitgamois,Pitgamois
podeen,Podéen
pommereullois,Pommereullois
pontamarcquois,Pontamarcquois
pontois,Pontois
potellois,Potellois
pradellois,Pradellois
premesquois,Prémesquois
presellois,Presellois
preutain,Preutain
perusien,Pérusien
prischois,Prischois
prouvysien,Prouvysien
provillois,Provillois
provinois,Provinois
quaedyprois,Quaëdyprois
quaroubain,Quaroubain
querenaingeois,Querénaingeois
quesnoysien,Quesnoysien
quievelonnais,Quiévelonnais
quievrechinois,Quiévrechinois
esquievin,Esquiévin
rachois,Râchois
radinghemois,Radinghémois
raillencourtois,Raillencourtois
raimbeaucourtois,Raimbeaucourtois
rainsarsois,Rainsarsois
raismois,Raismois
ramillien,Ramillien
ramousien,Ramousien
raucourtois,Raucourtois
rechignien,Rechignien
rejetois,Rejetois
renescurois,Renescurois
reumontois,Reumontois
rexpoedois,Rexpoëdois
ribecourtois,Ribécourtois
rieulaysien,Rieulaysien
rieuxois,Rieuxois
robersartois,Robersartois
roeulxois,Roeulxois
rombinois,Rombinois
romerien,Romérien
ronchinois,Ronchinois
roncquois,Roncquois
roost-warendinois,Roost-Warendinois
rosultois,Rosultois
roubaisien,Roubaisien
roucourtois,Roucourtois
roseen,Roséen
rouvigniesien,Rouvigniésien
rubrouckois,Rubrouckois
ruesnois,Ruesnois
rumegeois,Rumegeois
rumillion,Rumillion
saillysien,Saillysien
saillysien,Saillysien
sainghinois,Sainghinois
sainghinois,Sainghinois
sainsois,Sainsois
amandinois,Amandinois
andresien,Andrésien
aubertois,Aubertois
saint-aubinois,Saint-Aubinois
aybertois,Aybertois
saint-beninois,Saint-Beninois
saint-georgeois,Saint-Georgeois
hilairien,Hilairien
saint-hilairois,Saint-Hilairois
cappellois,Cappellois
saint-martinois,Saint-Martinois
saint-momelinois,Saint-Momelinois
saint-pierrebrouckois,Saint-Pierrebrouckois
saint-piatien,Saint-Piatien
saint-remisien,Saint-Rémisien
saint-remysien,Saint-Rémysien
saint-saulvien,Saint-Saulvien
sulpicien,Sulpicien
cappelois,Cappelois
vedastois,Védastois
vedastien,Vedastien
sainte-marie-cappelois,Sainte-Marie-Cappelois
saleschois,Saleschois
salomeen,Saloméen
sameonnien,Saméonnien
sancourtois,Sancourtois
santois,Santois
sarseen,Sarséen
sarseen,Sarséen
sassegnisien,Sassegnisien
saultinois,Saultinois
salicetain,Salicétain
sebourgeois,Sebourgeois
seclinois,Seclinois
semerisien,Sémerisien
semousien,Semousien
sepmerien,Sepmerien
sequedinois,Sequedinois
seranvillerois-forenvillois,Séranvillerois-Forenvillois
sercussois,Sercussois
sinois,Sinois
socxois,Socxois
solesmois,Solesmois
solrezien,Solrézien
solrinnois,Solrinnois
somainois,Somainois
sommaingeois,Sommaingeois
spyckerois,Spyckerois
staplois,Staplois
steenbecquois,Steenbecquois
steenois,Steenois
steenvoordois,Steenvoordois
steenwerckois,Steenwerckois
strazeelois,Strazeelois
taisnierois,Taisniérois
taisnierois,Taisniérois
templemarois,Templemarois
templeuvois,Templeuvois
terdeghemois,Terdeghemois
teteghemois,Téteghémois
thiantais,Thiantais
thiennois,Thiennois
thivencellois,Thivencellois
thumerisien,Thumerisien
thun-episcopien,Thun-Episcopien
thunois,Thunois
martinien,Martinien
tilloysien,Tilloysien
tillotin,Tillotin
toufflersois,Toufflersois
tourquennois,Tourquennois
tourmignisien,Tourmignisien
trelonais,Trélonais
tressinois,Tressinois
trithois,Trithois
troisvillois,Troisvillois
uxemois,Uxemois
valenciennois,Valenciennois
vendegeois,Vendegeois
vendegeois,Vendegeois
vendevillois,Vendevillois
verchinois,Verchinois
verlinghemois,Verlinghemois
vertinois,Vertinois
vicquelot,Vicquelot
vieslysien,Vieslysien
vieux-berquinois,Vieux-Berquinois
vieux-condeen,Vieux-Condéen
vieux-mesnilois,Vieux-Mesnilois
vieux-rengtois,Vieux-Rengtois
villeneuvois,Villeneuvois
villereautin,Villereautin
villersois,Villersois
villersois,Villersois
guislanais,Guislanais
villersois,Villersois
villersois,Villersois
villers-polois,Villers-Polois
villersois,Villersois
volckerinckhovois,Volckerinckhovois
vredois,Vredois
wahagnisien,Wahagnisien
walincourtois,Walincourtois
wallersois,Wallersois
wallersois,Wallersois
wallon-cappelois,Wallon-Cappelois
wambaisien,Wambaisien
wambrecitain,Wambrecitain
wandinamageois,Wandinamageois
wannehainois,Wannehainois
wargnisien,Wargnisien
wargnion,Wargnion
warhemois,Warhemois
warlingeois,Warlingeois
warnetonnois,Warnetonnois
wasnois,Wasnois
wasquehalien,Wasquehalien
wattenais,Wattenais
wattignisien,Wattignisien
wattegnien,Wattegnien
wattrelosien,Wattrelosien
wavrechinois,Wavrechinois
wavrechinois,Wavrechinois
wavrinois,Wavrinois
wazierois,Wazierois
wemaers-cappelois,Wemaers-Cappelois
wervicquois,Wervicquois
west-cappelois,West-Cappelois
wicrois,Wicrois
piens,Pïens
willemois,Willemois
willien,Willien
winnezeelois,Winnezeelois
wormhoutois,Wormhoutois
wulverdinghois,Wulverdinghois
wylderois,Wylderois
zegerscappelois,Zegerscappelois
zermezeelois,Zermezeelois
zuydcootois,Zuydcootois
zuytpeenois,Zuytpeenois
abancourtois,Abancourtois
abbecourtois,Abbecourtois
abbevillois,Abbevillois
aceen,Acéen
agnessois,Agnessois
airionnais,Airionnais
allonnais,Allonnais
amblainvillois,Amblainvillois
amedeen,Amédéen
andevillien,Andevillien
angicourtois,Angicourtois
angylois,Angylois
ansacquois,Ansacquois
ansauvillois,Ansauvillois
anservillois,Anservillois
antheuillais,Antheuillais
apremontois,Apremontois
armancourtois,Armancourtois
arsien,Arsien
attichois,Attichois
alchidien,Alchidien
augerois,Augerois
aumontois,Aumontois
auneuillois,Auneuillois
auteuilois,Auteuilois
autrechois,Autrêchois
maraisien,Maraisien
avillois,Avillois
avrechois,Avrechois
avernois,Avernois
baboeufois,Baboeufois
bachivillois,Bachivillois
bacouelois,Bacouëlois
bailleulois,Bailleulois
bailleulois,Bailleulois
baillevalois,Baillevalois
baillotin,Baillotin
balagnard,Balagnard
barberisien,Barberisien
baronnais,Baronnais
bazicourtois,Bazicourtois
bellifontain,Bellifontain
beaumontois,Beaumontois
beaurainois,Beaurainois
belliriparien,Belliriparien
beauvaisien,Beauvaisien
beauvairois,Beauvairois
behericourtois,Béhéricourtois
berlancourtois,Berlancourtois
berneuillais,Berneuillais
berthecourtois,Berthecourtois
bethancourtois,Béthancourtois
bethisien,Béthisien
bethisien,Béthisien
bessin,Bessin
bienvillois,Bienvillois
biermontois,Biermontois
blaincourtois,Blaincourtois
blincourtois,Blincourtois
bonneuillois,Bonneuillois
bonneuillois,Bonneuillois
bonvillois,Bonvillois
boranais,Boranais
bornellois,Bornellois
bouconvillerois,Bouconvillerois
boursonnois,Boursonnois
bourycien,Bourycien
boutencourtois,Boutencourtois
bregicien,Brégicien
brenouillois,Brenouillois
breslois,Breslois
britulien,Britulien
breuil-le-secquois,Breuil-le-Secquois
bretuveliers,Brétuveliers
briotin,Briotin
brombosien,Brombosien
broyens,Broyens
brunvillois,Brunvillois
bucampois,Bucampois
buicourtois,Buicourtois
bullois,Bullois
burysien,Burysien
bussien,Bussien
caisnois,Caisnois
cambronnais,Cambronnais
cambronnais,Cambronnais
campenois,Campenois
campeausien,Campeausien
camprenois,Camprenois
candorien,Candorien
canlysien,Canlysien
cannectancourtois,Cannectancourtois
cannychon,Cannychon
carolipontois,Carolipontois
catenoysien,Catenoysien
cathensien,Cathensien
catillonnais-fumechonnais,Catillonnais-Fumechonnais
cauffriot,Cauffriot
mavais,Mavais
cempuisien,Cempuisien
chamantais,Chamantais
camblysien,Camblysien
camborsien,Camborsien
cantilien,Cantilien
chaumontois,Chaumontois
chavenconnais,Chavençonnais
chellois,Chellois
chepoisien,Chepoisien
chevincourtois,Chevincourtois
chevrevillois,Chèvrevillois
civrierien,Civrierien
caouens,Caouens
cosacien,Cosacien
choisien,Choisien
cinquatien,Cinquatien
cirois,Cirois
clairoisien,Clairoisien
clermontois,Clermontois
coivrillon,Coivrillon
compiegnois,Compiégnois
conchylien,Conchylien
contevillageois,Contevillageois
corbeilessartien,Corbeilessartien
cormeillois,Cormeillois
coudunois,Coudunois
couloisien,Couloisien
cortilien,Cortilien
coyens,Coyens
cramoisien,Cramoisien
crapeaumesnilois,Crapeaumesnilois
creillois,Creillois
crepynois,Crépynois
cressonsacquois,Cressonsacquois
crepicordien,Crépicordien
crepicordien,Crépicordien
crillonais,Crillonais
crisollois,Crisollois
croutoyens,Croutoyens
cotyriacien,Cotyriacien
cuigycien,Cuigycien
cuisien,Cuisien
cutsois,Cutsois
cuvillois,Cuvillois
cuyens,Cuyens
dameraucourtois,Daméraucourtois
delincourtois,Delincourtois
deudonisien,Deudonisien
divois,Divois
domfrontais,Domfrontais
duvisien,Duvisien
ecuvillois,Ecuvillois
elincourtois,Elincourtois
emevillois,Emévillois
enencourtois,Enencourtois
spinosien,Spinosien
eragnien,Eragnien
ercuisien,Ercuisien
ermenonvillois,Ermenonvillois
ercurien,Ercurien
erquinvillois,Erquinvillois
eschois,Eschois
esclois,Esclois
splaburgien,Splaburgien
esquenouillard,Esquenouillard
dionysien,Dionysien
etavignanais,Etavignanais
etouysien,Etouysien
ebroicien,Ebroïcien
felinois,Félinois
feuquierois,Feuquièrois
fitz-jamois,Fitz-Jamois
flavacourtois,Flavacourtois
flechissois,Fléchissois
fleurinois,Fleurinois
belifontainois,Belifontainois
lavagannais,Lavagannais
formion,Formion
fosseusois,Fosseusois
foulanguois,Foulanguois
fouquenisien,Fouquenisien
fouquerollois,Fouquerollois
fournivalien,Fournivalien
francastellois,Francastellois
francisien,Francisien
frenexillien,Frenexillien
frocourtois,Frocourtois
gannois,Gannois
gaudechartois,Gaudechartois
gerboreen,Gerboréen
gilocourtois,Gilocourtois
giraumontois,Giraumontois
glaignois,Glaignois
glatinois,Glatinois
goincourtois,Goincourtois
gourchellois,Gourchellois
godvicien,Godvicien
gouyens,Gouyens
fracnesien,Fracnésien
grandvillois,Grandvillois
guignecourtois,Guignecourtois
magnien,Magnien
gurichon,Gurichon
hanvoilien,Hanvoilien
hardivillois,Hardivillois
haucourtois,Haucourtois
haudivillois,Haudivillois
haute-epinois,Haute-Epinois
altifontain,Altifontain
hecourtois,Hécourtois
heillois,Heillois
henonvillois,Hénonvillois
hermois,Hermois
hodenquois,Hodenquois
hodencquois,Hodencquois
hondainvillois,Hondainvillois
houdancourtois,Houdancourtois
ivrien,Ivrien
jamericourtois,Jaméricourtois
jaulzien,Jaulzien
jauens,Jauens
jonquierois,Jonquièrois
capellois,Capellois
neuvillois,Neuvillois
neuvillois,Neuvillois
neuvillois,Neuvillois
neuvillois,Neuvillois
berladiers,Berladiers
buccerien,Buccérien
labossois,Labossois
labrurois,Labrurois
capellois,Capellois
petrocapellovicien,Pétrocapellovicien
quenchillon,Quenchillon
lachellois,Lachellois
croisees-saintodonie,Croisées-Saintodonie
latinicien,Latinicien
laignevillois,Laignevillois
lansonnais,Lansonnais
landellois,Landellois
lamecourtois,Lamécourtois
morlacumeen,Morlacuméen
larbroyens,Larbroyens
lachenois,Lachenois
lattainvillois,Lattainvillois
laversinois,Laversinois
villetertrois,Villetertrois
crocquois,Crocquois
diluvien,Diluvien
fayelois,Fayelois
mesnilois,Mesnilois
mesnilois,Mesnilois
mesnilois,Mesnilois
ulmeusien,Ulmeusien
plessierois,Plessierois
plessis-brionnais,Plessis-Brionnais
ployronnais,Ployronnais
ageois,Ageois
levignennais,Lévignennais
lheraulais,Lhéraulais
liancourtois,Liancourtois
liancourtois,Liancourtois
liervillois,Liervillois
lieuvillois,Lieuvillois
loconvillois,Loconvillois
longueillois,Longueillois
longueillois,Longueillois
lormaisonnais,Lormaisonnais
loueusien,Loueusien
luchissois,Luchissois
machemontois,Machemontois
maignemontois,Maignemontois
maimbevillois,Maimbevillois
maisoncellois,Maisoncellois
marestois,Marestois
mareuillois,Mareuillois
mareuillois,Mareuillois
margnotin,Margnotin
margnotin,Margnotin
marollais,Marollais
marqueglisien,Marquéglisien
marseillais,Marseillais
mauleron,Maulèron
maysellois,Maysellois
melicocquois,Mélicocquois
merlouquin,Merlouquin
meruvien,Méruvien
merysien,Mérysien
millyens,Millyens
mognevillois,Mognevillois
moliennois,Moliennois
monceen,Moncéen
monchy-humierois,Monchy-Humiérois
monchyssois,Monchyssois
mondescourtois,Mondescourtois
monnevillais,Monnevillais
montafelicien,Montafélicien
montatairien,Montatairien
montepillusien,Montépillusien
montgerinois,Montgérinois
montierois,Montièrois
montjovicien,Montjovicien
montmacquois,Montmacquois
montmartinois,Montmartinois
montreuillois,Montreuillois
montreuillois,Montreuillois
montsois,Montsois
morienvalois,Morienvalois
mouchyssois,Mouchyssois
mouysard,Mouysard
moyennevillois,Moyennevillois
mediovillarois,Médiovillarois
muidorgeois,Muidorgeois
muirancourtois,Muirancourtois
mureaumontois,Mureaumontois
nampcellois,Nampcellois
nanteuillais,Nanteuillais
neufchellois,Neufchellois
novilacien,Novilacien
neuillantais,Neuillantais
neuville-boscien,Neuville-Boscien
noaillais,Noaillais
nogentais,Nogentais
nointellois,Nointellois
noroysiens,"Noroysiens "
nourardais,Nourardais
nucerien,Nucérien
noyonnais,Noyonnais
offoyens,Offoyens
ognois,Ognois
ognollais,Ognollais
ognonnais,Ognonnais
omecourtois,Omécourtois
ormoysien,Ormoysien
oratorien,Oratorien
oratorien,Oratorien
orrygeois,Orrygeois
orvillois,Orvillois
passelois,Passelois
prelot,Prélot
petrifontain,Pétrifontain
pimprezien,Pimprezien
plelleen,Plelléen
plainvillois,Plainvillois
ponchonnais,Ponchonnais
pontepiscopois,Pontépiscopois
maxipontain,Maxipontain
pontarmeen,Pontarméen
pontoisien,Pontoisien
pontponnien,Pontponnien
porquericourtois,Porquéricourtois
pauleen,Pauléen
preceen,Précéen
prompelonien,Prompelonien
puisotin,Puisotin
rainvillois,Rainvillois
rantignysien,Rantignysien
raresien,Rarésien
ravenelois,Ravenelois
reillacois,Reillacois
remecourtois,Rémécourtois
remeranglois,Réméranglois
remynois,Remynois
ressonnais,Ressonnais
ressontois,Ressontois
rethondois,Rethondois
reuillois,Reuillois
ribecourtois-et-dreslincourtois,"Ribécourtois et Dreslincourtois"
ricquebourgeois,Ricquebourgeois
riolien,Riolien
rivecourtais,Rivecourtais
robervallois,Robervallois
rosales,Rosales
rothoisien,Rothoisien
ruisselien,Ruisselien
rouvillois,Rouvillois
rodovillarois,Rodovillarois
rouvroysien,Rouvroysien
calimarot,Calimarot
ruscien,Ruscien
sacylien,Sacylien
saint-arnoltien,Saint-Arnoltien
saint-aubinois,Saint-Aubinois
saint-aubinois,Saint-Aubinois
saint-crepinois,Saint-Crépinois
saint-crepinien,Saint-Crépinien
saint-felicien,Saint-Félicien
saint-germinois,Saint-Germinois
geremarois,Gérémarois
saint-jeantois,Saint-Jeantois
saint-justois,Saint-Justois
saint-giotain,Saint-Giotain
leodegarien,Léodégarien
lupovicien,Lupovicien
martinodien,Martinodien
saint-martinoises-longovici,Saint-Martinoises-Longovici
saint-maximinois,Saint-Maximinois
audomarois,Audomarois
saint-salvatorien,Saint-Salvatorien
valmontois,Valmontois
saint-vaastien,Saint-Vaastien
eusebien,Eusébien
genovefain,Génovéfain
salencien,Salencien
pinaquin,Pinaquin
senantais,Senantais
senlisien,Senlisien
seranais,Seranais
serifontainois,Sérifontainois
sillicien,Sillicien
talmontois,Talmontois
thibivillois,Thibivillois
"thierois,thieroises","Thierois,Thieroises"
thiescourtois,Thiescourtois
thilsois,Thilsois
thivernien,Thivernien
thourottois,Thourottois
tillois,Tillois
tracotin,Traçotin
tracotain,Traçotain
tricotois,Tricotois
triechatelain,Triechâtelain
tressorien,Tressorien
troussencourtois,Troussencourtois
trumillois,Trumillois
ullysien,Ullysien
valdampierrois,Valdampierrois
vandelicourtois,Vandélicourtois
varesnois,Varesnois
vauchellois,Vauchellois
vaumoisien,Vaumoisien
venettien,Venettien
sautriauts,Sautriauts
verderonnais,Verderonnais
vernolien,Vernolien
vadais,Vadais
velusien,Vélusien
vieux-moulinois,Vieux-Moulinois
vignemontois,Vignemontois
villembraysien,Villembraysien
villeneuvois,Villeneuvois
frambourgeois,Frambourgeois
villersois,Villersois
villersois,Villersois
villersois,Villersois
villersois,Villersois
villeselvois,Villeselvois
villotrannais,Villotrannais
vinolien,Vinolien
wacquemoulinois,Wacquemoulinois
wambezien,Wambezien
warluisien,Warluisien
wavignisien,Wavignisien
alenconnais,Alençonnais
almenechois,Almenêchois
ancinois,Ancinois
antoniacien,Antoniacien
appenois,Appenois
argentanais,Argentanais
athisien,Athisien
albin,Albin
pantholien,Pantholien
aubussonnais,Aubussonnais
aunais,Aunais
aulnois,Aulnois
autolien,Autolien
avernais,Avernais
avernais,Avernais
avoinais,Avoinais
avrillien,Avrillien
bagnolais,Bagnolais
bailleulais,Bailleulais
banoicien,Banoïcien
barvillais,Barvillais
batillais,Batillais
bazochien,Bazochien
bazocheen,Bazochéen
beaufayens,Beaufayens
beaulandaisien,Beaulandaisien
belloquois,Belloquois
beauvinois,Beauvinois
bellifontain,Bellifontain
bellavillersois,Bellavillersois
bellemois,Bellêmois
bellouin,Bellouin
bellovissien,Bellovissien
belluvien,Belluvien
berd-huisien,Berd'Huisien
bivillierois,Bivillierois
bizouin,Bizouin
bocquenceen,Bocquencéen
boeceen,Boëcéen
boisseenn,Boisséenn
boissy-maugien,Boissy-Maugien
boitronnais,Boitronnais
bonafidesien,Bonafidésien
bonsmoulinois,Bonsmoulinois
bouceen,Boucéen
breelois,Bréelois
bruerolien,Bruérolien
brethelois,Brethélois
bretoncellois,Bretoncellois
briocien,Briocien
briouzois,Briouzois
brullemaillais,Brullemaillais
bubertois,Bubertois
bureen,Buréen
burien,Burien
buressardien,Buressardien
cahanais,Cahanais
calignien,Calignien
camembertois,Camembertois
canapvillais,Canapvillais
carrougien,Carrougien
ceauceen,Ceaucéen
ceriseen,Ceriséen
ceriseen,Ceriséen
cetonnais,Cetonnais
sechehain,Séchehain
cailloutin,Cailloutin
chamboisien,Chamboisien
campo-haltien,Campo-Haltien
camporicien,Camporicien
champelien,Champelien
champosulfien,Champosulfien
champesien,Champésien
champsecretois,Champsecretois
chandeen,Chandéen
chanusien,Chanusien
chaumontais,Chaumontais
chemillais,Chemillais
chenedolien,Chênedolien
ciralien,Ciralien
cisaien,Cisaien
colombarien,Colombarien
colonardais,Colonardais
comblotais,Comblotais
commelais,Commelais
condeen,Condéen
condeen,Condéen
condoleen,Condoléen
corbonnais,Corbonnais
coudehardais,Coudehardais
coulimerois,Coulimerois
couloncois,Couloncois
coulongeois,Coulongeois
coulongeois,Coulongeois
courceraultais,Courceraultais
courgeonnais,Courgeonnais
courgeoutien,Courgeoûtien
courmenilien,Courménilien
courtomerois,Courtomerois
couternois,Couternois
couvinois,Couvinois
cramenilois,Craménilois
croisillon,Croisillon
crouttesien,Crouttésien
crulaisien,Crulaisien
cuisseen,Cuisséen
dominomarien,Dominomarien
damignien,Damignien
danceen,Dancéen
domfrontais,Domfrontais
dompierrois,Dompierrois
dorceen,Dorcéen
durcetois,Durcétois
echaluvien,Echaluvien
echauffourien,Echauffourien
ecorceien,Ecorceien
ecorchois,Ecorchois
ecubeen,Ecubéen
hiemois,Hiémois
faverollais,Faverollais
fenilien,Fénilien
felois,Félois
ferrierois,Ferriérois
flerien,Flérien
fleureen,Fleuréen
fontenois,Fontenois
fontenaisien,Fontenaisien
fontenois,Fontenois
forgeron,Forgeron
franchevillois,Franchevillois
fresnaysien,Fresnaysien
gaceen,Gacéen
gandelainais,Gandelainais
gapreen,Gâpréen
gauvillois,Gauvillois
gemagois,Gémagois
geneslayens,Geneslayens
gielois,Giélois
gineain,Ginéain
glosien,Glosien
godissonnais,Godissonnais
gouletais,Gouletais
gueprein,Guêprein
guerquesallais,Guerquesallais
hablovillais,Hablovillais
haleinais,Haleinais
hauteriverain,Hauteriverain
helouin,Hélouin
heugonais,Heugonais
igeen,Igéen
idriucien,Idriucien
gaudiaceen,Gaudiacéen
juveplanien,Juvéplanien
juvignasien,Juvignasien
juvignasien,Juvignasien
aiglon,Aiglon
epi-contois,Epi-Contois
heremiterien,Hérémitérien
barocheen,Barochéen
bazoquois,Bazoquois
bellion,Bellion
carneillais,Carneillais
chapellois,Chapellois
bichois,Bichois
chapellois,Chapellois
montligeonnais,Montligeonnais
chapelois,Chapelois
chapellois,Chapellois
caldeen,Caldéen
francs-bigles,Francs-Bigles
coulonchois,Coulonchois
ferrierois,Ferriérois
ferrierois,Ferrièrois
ferriens-bechetois,Ferriens-Béchetois
fertois,Fertois
fertois,Fertois
auvraisien,Auvraisien
fresnayens,Fresnayens
genevreen,Genevréen
gonfrierois,Gonfriérois
landon,Landon
landais,Landais
landais,Landais
landais,Landais
landais,Landais
magdalenois,Magdalénois
mesnerois,Mesnérois
mottais,Mottais
perrierois,Perriérois
poterien,Poterien
rochessois,Rochessois
rougien,Rougien
