rewrite,gentile_h_ville_impr1,gentile_h_ville_impr2,nomcaractère
maloux,Maloux,,6
marie-montois,Marie-Montois,
salagnard,Salagnard,,9
salaisien,Salaisien,,9
sarcenais,Sarcenais,,9
sardieurot,Sardieurot,,10
sassenageois,Sassenageois,,12
satolassien,Satolassien,,11
savasien,Savasien,,8
chichilin,Chichilin,,9
semonois,Semonois,,8
septemois,Septèmois,,9
serezinois,Sérézinois,,10
sermeriolan,Sermériolan,,11
serpaizan,Serpaizan,,9
serre-nerpolain,Serre-Nerpolain,
seyssinettois,Seyssinettois,,13
seyssinois,Seyssinois,,10
seyssuellois,Seyssuellois,,12
siccioland,Sicciolands,,10
sivaro,Sivaros,,6
sillannais,Sillannais,,10
sinardoux,Sinardoux,,9
soleymiard,Soleymiard,,10
sonnayard,Sonnayard,,9
sousvillois,Sousvillois,,11
succerois,Succerois,,9
susvillois,Susvillois,,10
techois,Têchois,,7
tencinois,Tencinois,,9
tarin,Tarin,,5
thodurois,Thodurois,,9
tignolan,Tignolan,,8
torchefelonais,Torchefelonais,,14
tramolien,Tramolien,,9
treffortain,Treffortain,,11
treminisou,Tréminisou,,10
treptois,Treptois,,8
tullinois,Tullinois,,9
valbonnesien,Valbonnésien,,12
valencinois,Valencinois,,11
valencognard,Valencognard,,12
sapari,Saparis,,6
varacien,Varacien,,8
varcois,Varçois,,7
vasselinois,Vasselinois,,11
vatilieurois,Vatilieurois,,12
vaujaniat,Vaujaniat,,9
vaulnaviard,Vaulnaviard,,11
vaulnaviard,Vaulnaviard,,11
vaulxois,Vaulxois,,8
velannois,Velannois,,9
veneriard,Vénériard,,9
venonais,Venonais,,8
venosquain,Venosquain,,10
vernandiaux,Vernandiaux,,11
vergnos,Vergnos,,7
vertroland,Vertrolands,,10
veurois,Veurois,,7
veyrlinois,Veyrlinois,,10
veyssillard,Veyssillard,,11
vezerontin,Vézerontin,,10
viennois,Viennois,,8
vifois,Vifois,,6
vignolais,Vignolais,,9
villardien,Villardien,,10
villardien,Villardien,,10
villarand,Villarands,,9
villarais,Villarais,,9
pentaron,Pentaron,,8
villardois,Villardois,,10
terrebassien,Terrebassien,,12
villard,Villard,,7
villemorantin,Villemorantin,,13
villeneuvois,Villeneuvois,,12
villettois,Villettois,,10
villettois,Villettois,,10
vinois,Vinois,,6
viriaquois,Viriaquois,,10
virivillois,Virivillois,,11
vizillois,Vizillois,,9
voironnais,Voironnais,,10
voissigniaud,Voissigniaud,,12
voreppin,Voreppin,,8
voureysien,Voureysien,,10
abergeois,Abergeois,,9
abergementier,Abergementiers,,13
aillepierri,Aillepierris,,11
amangeois,Amangeois,,9
andelotien,Andelotien,,10
andelocien,Andelocien,,10
annoirien,Annoirien,,9
arboisien,Arboisien,,9
archelangeais,Archelangeais,,13
ardonais,Ardonais,,8
arinthodien,Arinthodien,,11
barocher,Barochers,,8
arthenais,Arthenais,,9
audelangeais,Audelangeais,,12
augeranti,Augerantis,,9
augisois,Augisois,,8
aumonier,Aumoniers,,8
aumurois,Aumurois,,8
authumois,Authumois,,9
potringus,Potringus,,9
balanodien,Balanodien,,10
baumois,Baumois,,7
baverannais,Baverannais,,11
beaufortain,Beaufortain,,11
bellecombien,Bellecombien,,12
bellifontain,Bellifontain,,12
belmontois,Belmontois,,10
besenier,Béseniers,,8
biarnais,Biarnais,,8
benatier,Benatiers,,8
bletteranois,Bletteranois,,12
blezois,Blézois,,7
cabas,Cabas,,5
bois-d-amonier,Bois-d'Amoniers,
boissiaton,Boissiaton,,10
chiettard,Chiettard,,9
bonnefontois,Bonnefontois,,12
bourciati,Bourciatis,,9
brainanais,Brainanais,,10
brante,Brantés,,6
brairien,Brairien,,8
bretenierois,Bretenièrois,,12
brevannais,Brevannais,,10
brioulais,Brioulais,,9
buvillois,Buvillois,,9
censealien,Censéalien,,10
barocher,Barochers,,8
cesancois,Cesançois,,9
chamblaysien,Chamblaysien,,12
chamolais,Chamolais,,9
champoigneux,Champoigneux,,12
champagnesien,Champagnésien,,13
champagnolais,Champagnolais,,13
champvannais,Champvannais,,12
chanciannais,Chanciannais,,12
chapellois,Chapellois,,10
chapoisien,Chapoisien,,10
charchillatin,Charchillatin,,13
charnodien,Charnodien,,10
chassalien,Chassalien,,10
castel-chalonnais,Castel-Chalonnais,
chateland,Châtelands,,9
chatenaitet,Chatenaitets,,11
chatillonnais,Châtillonnais,,13
chatonnaitain,Chatonnaitain,,13
calmergien,Calmergien,,10
chaussenier,Chausseniers,,11
chaussinois,Chaussinois,,11
chaulien,Chaulien,,8
cheminois,Cheminois,,9
chevignoulot,Chevignoulot,,12
chillois,Chillois,,8
chillois,Chillois,,8
chisserien,Chissérien,,10
cabotin,Cabotin,,7
choulier,Chouliers,,8
cerisier,Cerisiers,,8
clairvalien,Clairvalien,,11
coiserand,Coiserands,,9
coisiain,Coisiain,,8
coulonnais,Coulonnais,,10
commenaillais,Commenaillais,,13
condois,Condois,,7
conliegeois,Conliègeois,,11
contois,Contois,,7
cornodien,Cornodien,,9
cosgeois,Cosgeois,,8
courbattier,Courbattiers,,11
courbouzonais,Courbouzonais,,13
courlanais,Courlanais,,10
corlavois,Corlavois,,9
cousancois,Cousançois,,10
coyrierant,Coyriérants,,10
cramantier,Cramantiers,,10
crancotois,Crançotois,,10
crenantin,Crenantin,,9
crisselois,Crisselois,,10
crotenaisien,Crotenaisien,,12
cutturassien,Cutturassien,,12
ventre-sans-fond,"Ventres sans fond",
damparisien,Damparisien,,11
dampierrois,Dampierrois,,11
desnois,Desnois,,7
bagnien,Bagnien,,7
dolois,Dolois,,6
domblanais,Domblanais,,10
dompierrois,Dompierrois,,11
doucein,Doucein,,7
dournonien,Dournonien,,10
doyen,Doyens,,5
eclanaises-nenonais,Eclanais-Nenonais,
ecleusien,Ecleusien,,9
ecrillois,Ecrillois,,9
catouilli,Catouillis,,9
equevillonnais,Equevillonnais,,14
espagnol,"Les Espagnols",,8
evanais,Evanais,,7
faltanais,Faltanais,,9
montis-fagussin,Montis-Fagussin,
fetignois,Fétignois,,9
foncinier,Fonciniers,,9
foncinier,Fonciniers,,9
charbonnier,Charbonniers,,11
roclin,Roclin,,6
grandvallier,Grandvalliers,,12
foucheranais,Foucheranais,,12
botray,Botrays,,6
fraisanois,Fraisanois,,10
barocher,Barochers,,8
frasnais,Frasnais,,8
frebuanais,Frébuanais,,10
fredevallois,Fredevallois,,12
gendreyen,Gendreyens,,9
genodien,Genodien,,8
gerugeois,Gerugeois,,9
gevingeois,Gevingeois,,10
grangeat,Grangeat,,8
gredailler,Gredaillers,,10
grozonnais,Grozonnais,,10
tracouti,Tracoutis,,8
ivorien,Ivorien,,7
jeurrois,Jeurrois,,8
jouhannais,Jouhannais,,10
aubespinois,Aubespinois,,11
stellien,Stellien,,8
boisseran,Boisseran,,9
chassagnard,Chassagnard,,11
chatelainier,Châtelainiers,,12
chaumussard,Chaumussard,,11
fertois,Fertois,,7
gangonien,Gangonien,,9
barocher,Barochers,,8
logien,Logien,,6
nisse,Nisses,,5
mouillerand,Mouillerands,,11
pesserand,Pesserands,,9
turimexien,Turimexien,,10
vieilogien,Vieilogien,,10
lajouland,Lajoulands,,9
larnaudien,Larnaudien,,10
lavante,Lavantés,,7
lavinois,Lavinois,,8
deschalien,Deschalien,,10
fiedois,Fiedois,,7
frasnoisien,Frasnoisien,,11
brezon,Brezon,,6
latois,Latois,,6
louvaret,Louvarets,,8
pasquerois,Pasquerois,,10
pinois,Pinois,,6
coquadioux,Coquadioux,,10
vernoisien,Vernoisien,,10
legnatois,Légnatois,,9
les-coucou,"Les Coucou",
arsurien,Arsurien,,8
boucherand,Boucherands,,10
chalmenier,Chalmeniers,,10
crozetier,Crozetiers,,9
molunois,Molunois,,8
mousserand,Mousserands,,10
planchois,Planchois,,9
reposien,Reposien,,8
rousseland,Rousselands,,10
lombardien,Lombardien,,10
chaumerand,Chaumerands,,10
couchetard,Couchetard,,10
longvocien,Longvocien,,10
ledonien,Lédonien,,8
loullois,Loullois,,8
louvatangeais,Louvatangeais,,13
macornensien,Macornensien,,12
maisoulin,Maisoulin,,9
malangeais,Malangeais,,10
marignois,Marignois,,9
gandounier,Gandouniers,,10
marnezien,Marnézien,,9
martignanais,Martignanais,,12
mathenayon,Mathenayon,,10
badalot,Badalot,,7
menetricien,Ménétricien,,11
menoteyer,Menoteyers,,9
meronassien,Méronassien,,11
moinouli,Moinoulis,,8
matou,Matou,,5
messornais,Messornais,,10
mussinois,Mussinois,,9
miegeois,Miègeois,,8
mirouli,Miroulis,,7
mignovillageois,Mignovillageois,,15
mirebellois,Mirebellois,,11
moirantin,Moirantin,,9
moironnais,Moironnais,,10
moisseyais,Moisseyais,,10
molambozien,Molambozien,,11
molaisien,Molaisien,,9
molingien,Molingien,,9
monayan,Monayan,,7
monnierois,Monniérois,,10
monier,Moniers,,6
gaudier,Gaudiers,,7
montagnon,Montagnon,,9
montacutain,Montacutain,,11
montinois,Montinois,,9
montcuselois,Montcuselois,,12
monteplinois,Monteplinois,,12
florimontais,Florimontais,,12
barouchin,Barouchin,,9
montignelli,Montignellis,,11
mireymontois,Mireymontois,,12
mireymontois,Mireymontois,,12
catharus,Catharus,,8
mournier,Mourniers,,8
morberand,Morberands,,9
morezien,Morézien,,8
muscadien,Muscadien,,9
mustignien,Mustignien,,10
nancier,Nanciers,,7
neuvillin,Neuvillin,,9
calin,Calin,,5
nognavicien,Nognavicien,,11
nozerien,Nozérien,,8
offlangeois,Offlangeois,,11
hagonien,Hagonien,,8
orchampois,Orchampois,,10
orgeletain,Orgelétain,,10
oussierois,Oussièrois,,10
pagnoulot,Pagnoulot,,9
pagnoli,Pagnolis,,7
pannessierois,Pannessièrois,,13
parcillon,Parcillon,,9
passenier,Passeniers,,9
peintrais,Peintrais,,9
perrignois,Perrignois,,10
pesotin,Pesotin,,7
penicullien,Pénicullien,,11
picarroulien,Picarroulien,,12
pagnolot,Pagnolot,,8
plasnier,Plasniers,,8
bedouin,Bédouin,,7
pleurois,Pleurois,,8
plumontois,Plumontois,,10
feolien,Féolien,,7
pointre,Pointrés,,7
polinois,Polinois,,8
heripontin,Héripontin,,10
pontois,Pontois,,7
navoiron,Navoiron,,8
lenipontain,Lénipontain,,11
pratzien,Pratzien,,8
premanonier,Prémanoniers,,11
prenovelan,Prénovelan,,10
pretenier,Preteniers,,9
publicain,Publicain,,9
pupillanais,Pupillanais,,11
quintignois,Quintignois,,11
rahonnais,Rahonnais,,9
rainantais,Rainantais,,10
rantier,Rantiers,,7
ravillolais,Ravillolais,,11
relanais,Relanais,,8
revignois,Revignois,,9
rochefortain,Rochefortain,,12
rognatier,Rognatiers,,9
rotalien,Rotalien,,8
saint-amourain,Saint-Amourain,
saint-aubinois,Saint-Aubinois,
barinois,Barinois,,8
sanclaudien,Sanclaudien,,11
san-desiderois,San-Desiderois,
saint-germinois,Saint-Germinois,
hymeterien,Hymetérien,,10
saint-juliennois,Saint-Juliennois,
saint-laminois,Saint-Laminois,
grandvallier,Grandvalliers,,12
cathoulan,Cathoulan,,9
saint-lothinois,Saint-Lothinois,
lupicinois,Lupicinois,,10
sanmaurien,Sanmaurien,,10
saint-pierrard,Saint-Pierrard,
salinois,Salinois,,8
sampenois,Sampenois,,9
ninaneux,Ninaneux,,8
sapoitier,Sapoitiers,,9
sarronide,Sarronide,,9
selinois,Sélinois,,8
sellierois,Selliérois,,10
septmonceland,Septmoncelands,,13
sermanger,Sermangers,,9
sirotier,Sirotiers,,8
souciaton,Souciaton,,9
suberien,Subérien,,8
syamois,Syamois,,7
tassenierois,Tassenièrois,,12
tavellois,Tavellois,,9
tassenois,Tassenois,,9
trevadier,Trevadiers,,9
thoiretien,Thoiretien,,10
thoiriassien,Thoiriassien,,12
toulousien,Toulousien,,10
tourmonier,Tourmoniers,,10
trenalien,Trénalien,,9
uxellois,Uxellois,,8
vadantier,Vadantiers,,9
meusbeyos,Meusbeyos,,9
valfinois,Valfinois,,9
vanouillard,Vanouillard,,11
vaudrion,Vaudrion,,8
vauxois,Vauxois,,7
vercois,Vercois,,7
vergeois,Vergeois,,8
veriaton,Vériaton,,8
vernantoisien,Vernantoisien,,13
vertambozien,Vertambozien,,12
vesclois,Vesclois,,8
vivissois,Vivissois,,9
villatus,Villatus,,8
villanovi,Villanovis,,9
villerbotin,Villerbotin,,11
villerobertisse,Villerobertisses,,15
villersenian,Villersenian,,12
velotier,Velotiers,,8
villettois,Villettois,,10
villevieusin,Villevieusin,,12
vincellois,Vincellois,,10
vincent,Vincents,,7
virysan,Virysan,,7
vitrouiller,Vitrouillers,,11
victorien,Victorien,,9
vosblois,Vosblois,,8
vrianger,Vriangers,,8
vuvolzien,Vuvolzien,,9
aturin,Aturin,,6
amollois,Amollois,,8
angoumois,Angoumois,,9
angressois,Angressois,,10
arboucavais,Arboucavais,,11
arengossais,Arengossais,,11
argelossien,Argelossien,,11
argelousien,Argelousien,,11
arjuzannais,Arjuzannais,,11
arsaguais,Arsaguais,,9
artassenois,Artassénois,,11
arthezien,Arthézien,,9
atrebate,Atrébate,,8
arcais,Arcais,,6
aubagnanais,Aubagnanais,,11
audignonais,Audignonais,,11
audonnais,Audonnais,,9
aureilhanais,Aureilhanais,,12
auricois,Auriçois,,8
azurien,Azurien,,7
bahusate,Bahusate,,8
baigtsois,Baigtsois,,9
banossais,Banossais,,9
bas-maucien,Bas-Maucien,
basconnais,Basconnais,,10
basserclois,Basserclois,,11
bastennois,Bastennois,,10
batsois,Batsois,,7
baudignanais,Baudignanais,,12
begaarois,Bégaarois,,9
belhadais,Belhadais,,9
belisien,Bélisien,,8
belusien,Bélusien,,8
benessois,Bénessois,,9
benessois,Bénessois,,9
benquetois,Benquetois,,10
bergoueyais,Bergoueyais,,11
betbezois,Betbezois,,9
beylonguais,Beylonguais,,11
beyrissois,Beyrissois,,10
biarrottais,Biarrottais,,11
biassut,Biassuts,,7
biaudossais,Biaudossais,,11
biscarrossais,Biscarrossais,,13
bonnegardien,Bonnegardien,,12
bossien,Bossien,,7
borderien,Bordérien,,9
bostensois,Bostensois,,10
bouguais,Bouguais,,8
bourdalatois,Bourdalatois,,12
bourriotais,Bourriotais,,11
brassempouyais,Brassempouyais,,14
breton,Breton,,6
brocassais,Brocassais,,10
buanais,Buanais,,7
cachenais,Cachenais,,9
cagnottais,Cagnottais,,10
callenois,Callénois,,9
campenois,Campenois,,9
campetois,Campétois,,9
candressois,Candressois,,11
canenxois,Canenxois,,9
capbretonnais,Capbretonnais,,13
carcaressois,Carcaressois,,12
carcenois,Carcénois,,9
cassenois,Cassenois,,9
castaignossais,Castaignossais,,14
castandetois,Castandetois,,12
sarrazin,Sarrazin,,8
castellan,Castellan,,9
castelnausien,Castelnausien,,13
castelnois,Castelnois,,10
castesien,Castésien,,9
caunaquois,Caunaquois,,10
cauneillais,Cauneillais,,11
caupennois,Caupennois,,10
cazalisien,Cazalisien,,10
cazerien,Cazérien,,8
cerois,Cèrois,,6
classunois,Classunois,,10
cledois,Clédois,,7
clermontois,Clermontois,,11
commensacquais,Commensacquais,,14
coudurien,Coudurien,,9
creonais,Créonais,,8
dacquois,Dacquois,,8
doazitien,Doazitien,,9
donzacquois,Donzacquois,,11
duhortois,Duhortois,,9
dumois,Dumois,,6
escalanais,Escalanais,,10
escourcois,Escourçois,,10
estibaussais,Estibaussais,,12
estigardais,Estigardais,,11
eugenois,Eugénois,,8
eyrois,Eyrois,,6
farguais,Farguais,,8
gaassois,Gaassois,,8
gabardan,Gabardan,,8
gaillerois,Gaillerois,,10
gamardais,Gamardais,,9
garinois,Garinois,,8
garreyois,Garreyois,,9
garrossais,Garrossais,,10
gastais,Gastais,,7
gaujacquois,Gaujacquois,,11
geaunois,Geaunois,,8
gelouxois,Gélouxois,,9
gibretois,Gibrétois,,9
goossois,Goossois,,8
gourberasien,Gourbérasien,,12
goussois,Goussois,,8
goutsois,Goutsois,,8
grenadois,Grenadois,,9
habassais,Habassais,,9
hagetmautien,Hagetmautien,,12
hastinguot,Hastinguot,,10
haurietois,Hauriètois,,10
haut-maucois,Haut-Maucois,
hermois,Hermois,,7
herequois,Herequois,,9
heugais,Heugais,,7
hinxois,Hinxois,,7
hontanois,Hontanois,,9
horsarrois,Horsarrois,,10
jossais,Jossais,,7
labastidien,Labastidien,,11
labastidien,Labastidien,,11
labatutois,Labatutois,,10
labennais,Labennais,,9
bouheyrot,Bouheyrot,,9
labritois,Labritois,,9
lacajuntois,Lacajuntois,,11
lacquois,Lacquois,,8
crabot,Crabot,,6
glorieux,Glorieux,,8
granger,Grangers,,7
lahossais,Lahossais,,9
laluquois,Laluquois,,9
lamothois,Lamothois,,9
larbeyen,Larbeyens,,8
saint-savinois,Saint-Savinois,
latrillois,Latrillois,,10
lauredien,Laurédien,,9
lauretois,Laurétois,,9
frechois,Fréchois,,8
leuyois,Leuyois,,7
sennois,Sennois,,7
vignalais,Vignalais,,9
lencouacquais,Lencouacquais,,13
leonnais,Léonnais,,8
lesgorien,Lesgorien,,9
lesperonnais,Lesperonnais,,12
levignacquois,Levignacquois,,13
linxois,Linxois,,7
lipostheyais,Lipostheyais,,12
litois,Litois,,6
lossais,Lossais,,7
louerois,Louérois,,8
lourquennois,Lourquennois,,12
lubbonais,Lubbonais,,9
lucbardezien,Lucbardézien,,12
luot,Luot,,4
luglonnais,Luglonnais,,10
lussignien,Lussignien,,10
luxois,Luxois,,6
magescquois,Magescquois,,11
maillassais,Maillassais,,11
maillerais,Maillerais,,10
maneen,Manéen,,6
mantois,Mantois,,7
marpapsien,Marpapsien,,10
mauricois,Mauricois,,9
maurrinois,Maurrinois,,10
mauvezinois,Mauvezinois,,11
maylisien,Maylisien,,9
mazerollais,Mazerollais,,11
meessois,Méessois,,8
meilhanais,Meilhanais,,10
messangeot,Messangeot,,10
mezossais,Mézossais,,9
mimbastais,Mimbastais,,10
mimizannais,Mimizannais,,11
miramontois,Miramontois,,11
missonnais,Missonnais,,10
molietsois,Molietsois,,10
momuyais,Momuyais,,8
mongetois,Mongétois,,9
monsegurois,Monségurois,,11
montois,Montois,,7
montaldes,Montaldes,,9
monteacutin,Montéacutin,,11
montfortois,Montfortois,,11
montgaillardais,Montgaillardais,,15
souemontain,Souémontain,,11
morcenais,Morcenais,,9
morganais,Morganais,,9
mouscardesien,Mouscardésien,,13
mousteyais,Mousteyais,,10
mugronais,Mugronais,,9
narrossais,Narrossais,,10
nassietois,Nassietois,,10
nerbisien,Nerbisien,,9
noussois,Noussois,,8
oueyrot,Oueyrot,,7
oeyrelois,Oeyrelois,,9
onardais,Onardais,,8
ondrais,Ondrais,,7
onessois,Onessois,,8
oristois,Oristois,,8
ortheviellois,Ortheviellois,,13
orxois,Orxois,,6
ossageois,Ossageois,,9
oussois,Oussois,,7
ozourtois,Ozourtois,,9
parentissois,Parentissois,,12
persylvain,Persylvain,,10
payrotais,Payrotais,,9
pecoradais,Pécoradais,,10
perquois,Perquois,,8
pireutch,Pireutchs,,8
peyrois,Peyrois,,7
peyrehoradais,Peyrehoradais,,13
philondenxois,Philondenxois,,13
pimbolais,Pimbolais,,9
pisseen,Pisséen,,7
pomarezien,Pomarézien,,10
pontenais,Pontenais,,9
pontois,Pontois,,7
port-de-lannais,Port-de-Lannais,
poudenxois,Poudenxois,,10
pouillonnais,Pouillonnais,,12
pouydessois,Pouydessois,,11
poyannais,Poyannais,,9
poyartinois,Poyartinois,,11
prechacquois,Préchacquois,,12
pujolais,Pujolais,,8
puyolais,Puyolais,,8
renungois,Renungois,,9
retjonnais,Retjonnais,,10
rimbezien,Rimbézien,,9
rionnais,Rionnais,,8
rivierois,Rivierois,,9
roquefortois,Roquefortois,,12
sabrais,Sabrais,,7
saint-agnetois,Saint-Agnetois,
saint-andresien,Saint-Andrésien,
saint-aubinois,Saint-Aubinois,
saint-avitois,Saint-Avitois,
saint-bartheleminois,Saint-Barthéléminois,
saint-cricquois,Saint-Cricquois,
saint-cricquais,Saint-Cricquais,
saint-cricquois,Saint-Cricquois,
stephanois,Stéphanois,,10
saint-geinois,Saint-Geinois,
saint-geournais,Saint-Geournais,
saint-geoursois,Saint-Geoursois,
saint-gorois,Saint-Gorois,
lierois,Liérois,,7
saint-jeannais,Saint-Jeannais,
saint-julienois,Saint-Juliénois,
juliennois,Juliennois,,10
saint-justinois,Saint-Justinois,
saint-laurentin,Saint-Laurentin,
saint-lonnais,Saint-Lonnais,
louberin,Loubérin,,8
saint-martinois,Saint-Martinois,
saint-martinois,Saint-Martinois,
saint-martinois,Saint-Martinois,
saint-mauricois,Saint-Mauriçois,
saint-micheloises-escalusi,Saint-Micheloises-Escalusi,
saint-pandelonnais,Saint-Pandelonnais,
saint-paulais,Saint-Paulais,
saint-paulois,Saint-Paulois,
saint-perdonnais,Saint-Perdonnais,
saint-pierrois,Saint-Pierrois,
saint-severin,Saint-Severin,
vincentien,Vincentien,,10
tyrossais,Tyrossais,,9
saint-yaguenois,Saint-Yaguenois,
colombin,Colombin,,8
sainte-eulalien,Sainte-Eulalien,
saint-foyen,Saint-Foyens,
mariot,Mariot,,6
samadetois,Samadétois,,10
sanguinetois,Sanguinetois,,12
sarbazannais,Sarbazannais,,12
sarrazietois,Sarrazietois,,12
sarronais,Sarronais,,9
saubionnais,Saubionnais,,11
saubriguais,Saubriguais,,11
sibusate,Sibusate,,8
saugnacais,Saugnacais,,10
saugnac-et-muretois,Saugnac-et-Muretois,
seignossais,Seignossais,,11
serres-gastonnais,Serres-Gastonnais,
serreslousien,Serreslousien,,13
seyressois,Seyressois,,10
siestois,Siestois,,8
sinderois,Sindérois,,9
solferinois,Solférinois,,11
hossegorien,Hossegorien,,11
sorbesien,Sorbésien,,9
sordais,Sordais,,7
sorien,Sorien,,6
sortois,Sortois,,7
souprossais,Souprossais,,11
soustonnais,Soustonnais,,11
tallesien,Tallésien,,9
tarnosien,Tarnosien,,9
tarusate,Tarusate,,8
tercisien,Tercisien,,9
tethilien,Téthilien,,9
tilhois,Tilhois,,7
tossais,Tossais,,7
toulouzettain,Toulouzettain,,13
trensacquais,Trensacquais,,12
uchacquois,Uchacquois,,10
urgonnais,Urgonnais,,9
uzaquois,Uzaquois,,8
vertois,Vertois,,7
vicquois,Vicquois,,8
vieilloises-et-saint-gironnais,"Vieillois et Saint-Gironnais",
vielle-soubiranais,Vielle-Soubiranais,
viellois,Viellois,,8
boucalais,Boucalais,,9
villenavais,Villenavais,,11
villeneuvois,Villeneuvois,,12
ychoussois,Ychoussois,,10
ygossais,Ygossais,,8
yzossais,Yzossais,,8
angeen,Angéen,,6
areinais,Areinais,,8
artinois,Artinois,,8
arvillois,Arvillois,,9
autainvillois,Autainvillois,,13
authonais,Authonais,,9
avaraysien,Avaraysien,,10
averdonnais,Averdonnais,,11
azeen,Azéen,,5
balneen,Balnéen,,7
bailloutain,Bailloutain,,11
bauzien,Bauzien,,7
beauvillain,Beauvillain,,11
billois,Billois,,7
blesois,Blésois,,7
bonnevatier,Bonnevatiers,,11
bofericien,Bofericien,,10
bourrinchon,Bourrinchon,,11
bourseen,Bourséen,,8
bracilien,Bracilien,,9
brevainvillois,Brévainvillois,,14
berruyais,Berruyais,,9
bucillien,Bucillien,,9
candeen,Candéen,,7
celleen,Celléen,,7
cellettois,Cellettois,,10
chaillois,Chaillois,,9
chambognot,Chambognot,,10
chambourdin,Chambourdin,,11
campiniocois,Campiniocois,,12
chaonnais,Chaonnais,,9
castelviezin,Castelviezin,,12
chatillonnais,Châtillonnais,,13
castrais,Castrais,,8
chaumontais,Chaumontais,,11
chaumontais,Chaumontais,,11
chemerois,Chémerois,,9
chevernois,Chevernois,,10
chisseen,Chisséen,,8
castaneen,Castanéen,,9
chouetton,Chouetton,,9
chousseen,Chousséen,,9
calcissien,Calcissien,,10
controis,Controis,,8
cormenonais,Cormenonais,,11
cormeraisien,Cormeraisien,,12
couddois,Couddois,,8
couffiois,Couffiois,,9
coulangeois,Coulangeois,,11
columerien,Columérien,,10
courchois,Courchois,,9
courbouzonnais,Courbouzonnais,,14
courmeminois,Courmeminois,,12
couturois,Couturois,,9
crucherois,Cruchérois,,10
danzeen,Danzéen,,7
dhuizonnais,Dhuizonnais,,11
epuiseen,Epuiséen,,8
faverollais,Faverollais,,11
finois,Finois,,6
fortanais,Fortanais,,9
fosseen,Fosséen,,7
fougerois,Fougérois,,9
francillon,Francillon,,10
fresnois,Fresnois,,8
fretevalois,Frétevalois,,11
gievrois,Gièvrois,,8
gombergeanais,Gombergeanais,,13
herbaltois,Herbaltois,,10
housseen,Housséen,,8
huissellois,Huissellois,,11
huisselois,Huisselois,,10
josnesien,Josnesien,,9
chapelle-enchericois,Chapelle-Enchéricois,
chapellois,Chapellois,,10
chapellois,Chapellois,,10
capellovicien,Capellovicien,,13
chausseen,Chausséen,,9
colombellois,Colombellois,,12
fertesien,Fertésien,,9
fertois,Fertois,,7
fertois,Fertois,,7
fontenellois,Fontenellois,,12
villauclergeois,Villauclergeois,,15
lamottois,Lamottois,,9
lanceen,Lancéen,,7
lancomois,Lancômois,,9
landais,Landais,,7
langonnais,Langonnais,,10
lasseen,Lasséen,,7
lavardinois,Lavardinois,,11
gaultois,Gaultois,,8
poislaysien,Poislaysien,,11
templier,Templiers,,8
essartien,Essartien,,9
hayien,Hayien,,6
montilois,Montilois,,9
rupiepiscopien,Rupiépiscopien,,14
gobion,Gobion,,6
lignierois,Ligniérois,,10
lislois,Lislois,,7
lunotier,Lunotiers,,8
marchenegrosien,Marchenégrosien,,15
marcilliacien,Marcilliacien,,13
marcigaultais,Marcigaultais,,13
mareuillais,Mareuillais,,11
maslivois,Maslivois,,9
mazangeen,Mazangéen,,9
meherois,Méherois,,8
menarsois,Ménarsois,,9
monestois,Monestois,,9
merois,Merois,,6
meslandais,Meslandais,,10
meusnois,Meusnois,,8
millancois,Millancois,,10
messien,Messien,,7
molineuvois,Molineuvois,,11
mondoublotier,Mondoublotiers,,13
montais,Montais,,7
montheobaldien,Monthéobaldien,,14
montholien,Montholien,,10
montholien,Montholien,,10
montlivaltais,Montlivaltais,,13
montoirien,Montoirien,,10
montrichardais,Montrichardais,,14
moreen,Moréen,,6
muidois,Muidois,,7
mulsanais,Mulsanais,,9
murois,Murois,,6
naveillois,Naveillois,,10
nugdunois,Nugdunois,,9
nouannais,Nouannais,,9
nourreen,Nourréen,,8
nucerien,Nucérien,,8
auciliussois,Auciliussois,,12
onzainois,Onzainois,,9
orcayais,Orçayais,,8
orchaisiot,Orchaisiot,,10
ouchampois,Ouchampois,,10
oucquois,Oucquois,,8
oratorien,Oratorien,,9
oratorien,Oratorien,,9
pezovien,Pezovien,,8
pierrefittois,Pierrefittois,,13
pontilevien,Pontilevien,,11
pouillasson,Pouillasson,,11
prayen,Prayens,,6
prunaisien,Prunaisien,,10
prunellois,Prunellois,,10
rahartois,Rahartois,,9
reneen,Renéen,,6
rillageois,Rillageois,,10
roceen,Rocéen,,6
romorantinais,Romorantinais,,13
saint-aignanais,Saint-Aignanais,
saint-amandinois,Saint-Amandinois,
saint-arnoldien,Saint-Arnoldien,
saint-claudin,Saint-Claudin,
saint-cyrien,Saint-Cyrien,
deodatien,Déodatien,,9
stephanois,Stéphanois,,10
saint-firminois,Saint-Firminois,
saint-georgien,Saint-Georgien,
gervaisien,Gervaisien,,10
saint-gourgonnais,Saint-Gourgonnais,
saint-hilairien,Saint-Hilairien,
jacquegueretois,Jacqueguérétois,,15
saint-juliennais,Saint-Juliennais,
juliennois,Juliennois,,10
laurencaux,Laurençaux,,10
laurentaises-et-nouannais,Laurentais,
leonardunois,Léonardunois,,12
saint-lupeen,Saint-Lupéen,
saint-lubinois,Saint-Lubinois,
saint-martinois,Saint-Martinois,
audonien,Audonien,,8
richemerien,Richémérien,,11
